MDS1,MDS2
417702.668259755,-244443.7406598878
-1208921.4961497174,785330.5190498568
-544425.7993138961,497567.43245325034
-1013460.2614493689,650076.0109571937
-514466.81503380527,375214.53415005846
-840694.3124448162,370567.55009877565
462264.1638175652,-275684.9451166311
-564331.095545699,388109.7536939125
24919.38382452983,70969.89916730349
306490.2385467077,-161169.48943795657
501679.7481004611,-257529.52945332055
476066.17125406145,-238623.96509432598
287074.0462886794,-176340.02590100304
-95592.20828989136,6623.3494692348095
-321901.6724960777,156837.22909706342
361234.2218536075,-231071.9239761898
276215.6879132874,-151459.97290782782
77699.34575577771,-157109.90943701885
-208646.75611935428,229707.3029216305
608318.6566865247,-359663.8861934509
383491.3106301777,-219168.97058320823
-660987.9347930287,126551.91583617272
28841.22455707756,28167.77449878469
376914.80091419944,-176150.02612877174
-354264.8994647382,300677.88069362275
10606.31530799275,39432.62276850462
-1224548.354879506,748327.1054443512
126804.81206672119,-2393.842736953248
443404.81122139224,-276829.2725926417
275248.8093429664,-102472.56718711265
-29921.09467309364,39852.34980388641
-802808.2453432416,559048.5940100413
500021.49668744876,-295200.2752078931
212381.21056726243,-109606.17383721097
330731.9851780741,-138896.86075622716
347112.1460056341,-183475.8167677075
59396.33328996589,43043.40838316417
-156777.95606764828,188222.89367935676
588107.3313432963,-343718.680463458
-681042.0034584017,491201.4526085454
-513356.7664839335,364806.16050143173
211975.73708408186,-67918.01980879802
211189.65389882558,-105615.84324593068
260624.3192612272,-117425.43977486863
-95456.4132006629,39925.502221471725
86402.62355212419,-40811.04834968282
-286122.8636227049,110157.47556063431
47222.96566096145,-252700.23565233446
-77713.65339128427,122828.61191176593
433436.911743644,-209091.2597920869
153987.53719751834,-244024.9201755172
-480781.443044046,300722.23902844486
565527.0420807085,-331375.4962503551
74708.3356593017,-35399.81053135592
320697.9685587344,-133939.27085771385
232532.67805487613,-76446.18751075753
-1144415.0753579685,655379.9100136915
321549.11191162857,-140117.22043028392
488578.4093313756,-253259.216215426
-310276.6101620669,179295.3845864528
336722.67348483636,-180919.7151935979
52839.501861772624,-96590.1165559444
502485.52180411754,-297648.23029765283
-65856.91141698835,73812.4329856979
-362103.93722732476,307542.6910913643
-43640.18432198124,116706.45590975018
-3070981.110085955,1072094.829461399
-2164725.876398969,824466.2495689096
-128863.26497617297,170762.23849266197
308540.27524642984,-122848.50612069985
-4873.208971002423,66937.47895374241
-3024727.30251696,944467.0717529756
-231640.5684577642,118990.361940708
-686771.5876860205,497153.39057883114
-1646747.6102492507,383416.0974912837
-843422.243091586,580680.5647677346
-49852.51311114296,31819.229267210063
-562699.3465129739,265955.28364534915
138146.62787397977,-17310.078503665336
-1246254.8634203263,747169.2246400778
114760.52060827248,-15695.71658076052
-1728704.1892905019,984168.4393667453
-909469.6350303291,630086.5599022235
-387881.4651346889,63955.69403309434
-798214.2490164808,251667.3562386063
-1536486.4263284865,950178.3750180003
