Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga
Trava: Fist Planet,"Action,Comedy,Sci-Fi",6101,4713,6.54,4,13 min. per ep.,OVA ,Mar 2002 , Jul 2002,17149,,,,,,,,,,False
Sky Girls Specials,"Comedy,Sci-Fi",6096,8117,6.54,9,4 min. per ep.,Special ,Nov 2007 , Jun 2008,4018,,,,,,,,,,False
Pokemon Movie 18: Ring no Choumajin Hoopa,"Adventure,Fantasy",6089,2753,6.54,1,1 hr. 18 min.,Movie ,Jul 2015 , Jul 2015,56824,,,,,,,,,,False
Ring ni Kakero 1: Nichibei Kessen-hen,"Action,Sports",6092,9692,6.54,12,25 min. per ep.,TV ,Apr 2006 , Jun 2006,2834,,,,,,,,,,False
Puni Puni☆Poemii,"Comedy,Sci-Fi",6090,3404,6.54,2,30 min. per ep.,OVA ,Mar 2001 , Dec 2001,33853,,,,,,,,,,False
Reideen,"Action,Sci-Fi",6091,5974,6.54,26,24 min. per ep.,TV ,Feb 2007 , Sep 2007,9441,,,,,,,,,,False
Petit Clover Advance,,6086,7658,6.54,15,6 min. per ep.,Special ,Feb 2018 , Jun 2021,6548,,,,,,,,,,False
Phantasy Star Online 2: Episode Oracle,"Action,Sci-Fi",6087,3999,6.54,25,23 min. per ep.,TV ,Oct 2019 , Mar 2020,26143,,,,,,,,,,False
Patalliro Saiyuuki!,"Adventure,Boys Love,Comedy,Fantasy",6084,8179,6.54,26,9 min. per ep.,TV ,Jun 2005 , Nov 2005,4542,,,,,,,,,,False
Phantom: Requiem for the Phantom Picture Drama,,6088,6283,6.54,9,6 min. per ep.,Special ,Jul 2009 , Feb 2010,8035,,,,,,,,,,False
Shanshui Qing,,6094,10156,6.54,1,20 min.,Movie ,1988 , 1988,2290,,,,,,,,,,False
Sengoku Musou,,6093,4058,6.54,12,24 min. per ep.,TV ,Jan 2015 , Mar 2015,23531,,,,,,,,,,False
Night Head 2041,"Drama,Mystery,Sci-Fi,Supernatural",6081,2998,6.54,12,22 min. per ep.,TV ,Jul 2021 , Sep 2021,45392,,,,,,,,,,False
Monkey Turn V,"Action,Drama",6077,12280,6.54,25,24 min. per ep.,TV ,Jul 2004 , Dec 2004,1271,,,,,,,,,,False
Ikkitousen: Xtreme Xecutor Specials,"Comedy,Ecchi",6121,4926,6.54,6,3 min. per ep.,Special ,Jun 2010 , Nov 2010,14946,,,,,,,,,,False
Parasite Dolls,"Action,Sci-Fi",6083,4620,6.54,3,30 min. per ep.,OVA ,May 2003 , Jul 2003,20582,,,,,,,,,,False
Monster Musume no Iru Nichijou: Hobo Mainichi ◯◯! Namappoi Douga,"Comedy,Slice of Life",6078,2798,6.54,60,34 sec. per ep.,ONA ,Jul 2015 , Sep 2015,48501,,,,,,,,,,False
Miss Monochrome The Animation 3,"Comedy,Slice of Life",6076,4833,6.54,13,7 min. per ep.,TV ,Oct 2015 , Dec 2015,15630,,,,,,,,,,False
Yuu☆Yuu☆Hakusho: Mu Mu Hakusho - Nightmare Hakusho,,6072,5840,6.55,4,2 min. per ep.,OVA ,1993 , 1996,10168,,,,,,,,,,False
Persona: Trinity Soul,"Action,Sci-Fi",6085,2048,6.54,26,23 min. per ep.,TV ,Jan 2008 , Jun 2008,83804,,,,,,,,,,False
