Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga
Kotonoha no Niwa,"Drama,Romance,Slice of Life",685,189,7.92,1,46 min.,Movie ,May 2013 , May 2013,871341,7.63,2084.0,1472.0,13025.0,7,"Apr  25, 2013 to Oct  25, 2013",['Seinen'],Afternoon,"Shinkai, Makoto (Story), Motohashi, Midori (Art)",True
Hanasaku Iroha,"Comedy,Drama,Slice of Life",682,617,7.92,26,24 min. per ep.,TV ,Apr 2011 , Sep 2011,333330,7.31,4648.0,6524.0,2874.0,24,"Nov  22, 2010 to Sep  22, 2012",['Shounen'],Gangan Joker,"Chida, Eight (Art)",True
Bungou Stray Dogs: Dead Apple,"Action,Comedy,Mystery,Supernatural",688,905,7.91,1,1 hr. 30 min.,Movie ,Mar 2018 , Mar 2018,284837,8.2,423.0,3293.0,6081.0,15,"Mar  9, 2018 to Jun  29, 2023",[],Young Ace UP,Ganjii (Art),True
Bungou Stray Dogs,"Action,Comedy,Mystery,Supernatural",848,91,7.82,12,23 min. per ep.,TV ,Apr 2016 , Jun 2016,1409369,8.52,132.0,157.0,88304.0,Unknown,"Dec  4, 2012 to ?",['Seinen'],Young Ace,"Asagiri, Kafka (Story), Harukawa35 (Art)",True
Udon no Kuni no Kiniro Kemari,"Fantasy,Slice of Life",996,1500,7.75,12,22 min. per ep.,TV ,Oct 2016 , Dec 2016,135688,7.34,4280.0,7687.0,2350.0,72,"Jun  21, 2012 to Feb  15, 2019",['Seinen'],Comic@Bunch,"Shinomaru, Nodoka (Story & Art)",True
Mairimashita! Iruma-kun,"Comedy,Fantasy,Supernatural",997,516,7.74,23,23 min. per ep.,TV ,Oct 2019 , Mar 2020,495696,8.34,262.0,285.0,55546.0,Unknown,"Mar  2, 2017 to ?",['Shounen'],Shounen Champion (Weekly),"Nishi, Osamu (Story & Art)",True
Tsuki ga Michibiku Isekai Douchuu,"Action,Adventure,Comedy,Fantasy",1047,723,7.72,12,23 min. per ep.,TV ,Jul 2021 , Sep 2021,453233,7.96,834.0,2152.0,9041.0,Unknown,"May  28, 2013 to ?",[],,"Azumi, Kei (Story), Matsumoto, Mitsuaki (Art)",True
Kami nomi zo Shiru Sekai,"Comedy,Romance,Supernatural",1150,300,7.68,12,23 min. per ep.,TV ,Oct 2010 , Dec 2010,632370,8.47,164.0,117.0,108817.0,271,"Apr  9, 2008 to Apr  23, 2014",['Shounen'],Shounen Sunday,"Wakaki, Tamiki (Story & Art)",True
Akage no Anne,"Drama,Slice of Life",1049,3613,7.72,50,25 min. per ep.,TV ,Jan 1979 , Dec 1979,34236,7.31,4624.0,10455.0,1586.0,18,1997,['Shoujo'],,"Igarashi, Yumiko (Art), Montgomery, Lucy Maud (Story)",True
Saint Seiya,"Adventure,Fantasy,Sci-Fi",1000,1139,7.74,114,24 min. per ep.,TV ,Oct 1986 , Apr 1989,190500,7.54,2647.0,941.0,18807.0,110,"Dec  3, 1985 to Nov  6, 1990",['Shounen'],Shounen Jump (Weekly),"Kurumada, Masami (Story & Art)",True
Urusei Yatsura,"Action,Adventure,Comedy,Drama,Romance,Sci-Fi",1098,2181,7.7,195,25 min. per ep.,TV ,Oct 1981 , Mar 1986,90530,7.79,1330.0,1580.0,12245.0,366,"Aug  30, 1978 to Jan  21, 1987",['Shounen'],Shounen Sunday,"Takahashi, Rumiko (Story & Art)",True
Inuyashiki,"Action,Drama,Sci-Fi",1200,316,7.66,11,22 min. per ep.,TV ,Oct 2017 , Dec 2017,653870,7.59,2262.0,263.0,59130.0,85,"Jan  28, 2014 to Jul  25, 2017",['Seinen'],Evening,"Oku, Hiroya (Story & Art)",True
Hai to Gensou no Grimgar,"Action,Adventure,Drama,Fantasy",1199,241,7.66,12,24 min. per ep.,TV ,Jan 2016 , Mar 2016,740397,8.25,354.0,819.0,21421.0,Unknown,"Jun  25, 2013 to ?",[],,"Jyumonji, Ao (Story), Shirai, Eiri (Art)",True
Hana yori Dango,"Drama,Romance",1244,2491,7.64,51,25 min. per ep.,TV ,Sep 1996 , Aug 1997,63086,7.92,916.0,688.0,25261.0,244,Oct  1992 to Apr  2008,['Shoujo'],Margaret,"Kamio, Yoko (Story & Art)",True
Fruits Basket,"Drama,Fantasy,Romance",1147,357,7.68,26,24 min. per ep.,TV ,Jul 2001 , Dec 2001,542402,8.52,126.0,76.0,141147.0,136,"Jul  18, 1998 to Nov  20, 2006",['Shoujo'],Hana to Yume,"Takaya, Natsuki (Story & Art)",True
Shoujo Kakumei Utena: Adolescence Mokushiroku,"Avant Garde,Drama,Fantasy,Girls Love,Romance",1298,2765,7.62,1,1 hr. 30 min.,Movie ,Aug 1999 , Aug 1999,54817,7.37,3977.0,5959.0,3160.0,2,1999,['Shoujo'],,"Saitou, Chiho (Story & Art)",True
Soredemo Sekai wa Utsukushii,"Adventure,Fantasy,Romance",1299,705,7.62,12,22 min. per ep.,TV ,Apr 2014 , Jun 2014,318148,7.93,891.0,724.0,24027.0,150,"Mar  5, 2009 to May  20, 2020",['Shoujo'],Hana to Yume,"Shiina, Dai (Story & Art)",True
"Yondemasu yo, Azazel-san.","Comedy,Supernatural",1399,3500,7.58,4,21 min. per ep.,OVA ,Feb 2010 , Jun 2014,32764,7.41,3628.0,6724.0,2769.0,162,"Oct  9, 2007 to Dec  21, 2018",['Seinen'],Evening,"Yasuhisa, Kubo (Story & Art)",True
Ichigo Mashimaro,"Comedy,Slice of Life",1247,1890,7.64,12,24 min. per ep.,TV ,Jul 2005 , Oct 2005,112813,7.91,941.0,2575.0,7668.0,Unknown,"Feb  15, 2002 to ?",[],Dengeki Daioh,Barasui (Story & Art),True
World Trigger,"Action,Sci-Fi,Supernatural",1398,511,7.58,73,23 min. per ep.,TV ,Oct 2014 , Apr 2016,426112,7.81,1257.0,350.0,46150.0,Unknown,"Feb  9, 2013 to ?",['Shounen'],Jump SQ.,"Ashihara, Daisuke (Story & Art)",True
Tensura Nikki: Tensei shitara Slime Datta Ken,"Comedy,Fantasy,Slice of Life",1447,751,7.57,12,23 min. per ep.,TV ,Apr 2021 , Jun 2021,342986,7.75,1486.0,3527.0,5631.0,Unknown,"Apr  26, 2018 to ?",['Shounen'],Shounen Sirius,Shiba (Story & Art),True
Jigoku Sensei Nube,"Adventure,Comedy,Horror,Romance,Supernatural",1498,4386,7.55,49,24 min. per ep.,TV ,Apr 1996 , Jun 1997,21813,7.6,2225.0,5247.0,3655.0,279,"Aug  24, 1993 to May  11, 1999",['Shounen'],Shounen Jump (Weekly),"Okano, Takeshi (Art), Makura, Shou (Story)",True
Giant Killing,"Drama,Sports",1494,2285,7.55,26,24 min. per ep.,TV ,Apr 2010 , Sep 2010,71370,8.0,742.0,1554.0,12509.0,Unknown,"Jan  11, 2007 to ?",['Seinen'],Morning,"Tsunamoto, Masaya (Story), Tsujitomo (Art)",True
