Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga,Genre_1,Genre_2,Genre_3
Seiken no Blacksmith,"Action,Adventure,Fantasy",5320,1146,6.69,12,24 min. per ep.,TV ,Oct 2009 , Dec 2009,187372,7.28,4993.0,5963.0,3158.0,74,"Nov  22, 2007 to Aug  23, 2013",[],,"Miura, Isao (Story), Runa (Art)",True,Action,Adventure,Fantasy
Alien 9,"Horror,Sci-Fi",5284,3304,6.69,4,28 min. per ep.,OVA ,Jun 2001 , Feb 2002,40663,7.14,6664.0,2036.0,9381.0,30,"Jun  9, 1998 to Aug  24, 1999",['Seinen'],Young Champion Magazine,"Tomizawa, Hitoshi (Story & Art)",True,Horror,Sci-Fi,
Dragon Drive,"Action,Adventure,Comedy,Fantasy,Sci-Fi",5266,4019,6.7,38,25 min. per ep.,TV ,Jul 2002 , Mar 2003,23709,6.97,9073.0,4836.0,3993.0,57,"Aug  3, 2001 to Jan  5, 2006",['Shounen'],Shounen Jump (Monthly),"Sakura, Kenichi (Story & Art)",True,Action,Adventure,Comedy
Domestic na Kanojo,"Drama,Romance",5264,263,6.7,12,25 min. per ep.,TV ,Jan 2019 , Mar 2019,760725,7.19,5981.0,100.0,118117.0,292,"Apr  23, 2014 to Jun  10, 2020",['Shounen'],Shounen Magazine (Weekly),"Sasuga, Kei (Story & Art)",True,Drama,Romance,
Tokyo Babylon,"Action,Mystery,Supernatural",5250,4414,6.7,2,50 min. per ep.,OVA ,Oct 1992 , Mar 1994,19867,7.99,761.0,865.0,20331.0,18,1990 to  1993,['Shoujo'],Wings,CLAMP (Story & Art),True,Action,Mystery,Supernatural
Ultraman,"Action,Sci-Fi",5232,3898,6.71,13,23 min. per ep.,ONA ,Apr 2019 , Apr 2019,28537,7.17,6339.0,3676.0,5407.0,Unknown,"Nov  1, 2011 to ?",['Seinen'],Monthly Hero's,"Shimizu, Eiichi (Story), Shimoguchi, Tomohiro (Art)",True,Action,Sci-Fi,
Maji de Watashi ni Koi Shinasai!,"Comedy,Romance,Ecchi",5236,714,6.7,12,23 min. per ep.,TV ,Oct 2011 , Dec 2011,306131,7.3,4783.0,2393.0,8178.0,33,"May  26, 2010 to Jun  26, 2013",['Shounen'],Comp Ace,"Minato Soft (Story), Inue, Shinsuke (Art)",True,Comedy,Romance,Ecchi
Muhyo to Rouji no Mahouritsu Soudan Jimusho,"Action,Comedy,Drama,Mystery,Supernatural",5219,2699,6.71,12,23 min. per ep.,TV ,Aug 2018 , Oct 2018,53172,7.49,2984.0,4034.0,4909.0,159,"Nov  29, 2004 to Mar  3, 2008",['Shounen'],Shounen Jump (Weekly),"Nishi, Yoshiyuki (Story & Art)",True,Action,Comedy,Drama
Mahou Shoujo Lyrical Nanoha ViVid,"Action,Adventure",5186,3855,6.72,12,25 min. per ep.,TV ,Apr 2015 , Jun 2015,27029,7.63,2044.0,5400.0,3534.0,104,"May  26, 2009 to Oct  26, 2017",[],Comp Ace,"Fujima, Takuya (Art), Tsuzuki, Masaki (Story)",True,Action,Adventure,
Hoshizora e Kakaru Hashi,"Comedy,Romance,Ecchi",5183,1189,6.72,12,25 min. per ep.,TV ,Apr 2011 , Jun 2011,178087,7.26,5130.0,20566.0,559.0,8,Jul  2011 to Dec  2011,['Shounen'],Comp Ace,"Feng (Story), Morisaki, Kurumi (Art)",True,Comedy,Romance,Ecchi
Mahoutsukai ni Taisetsu na Koto,"Drama,Slice of Life",5187,3824,6.72,12,24 min. per ep.,TV ,Jan 2003 , Mar 2003,27914,7.03,8198.0,5998.0,3138.0,9,"May  9, 2002 to Jan  9, 2003",['Shounen'],Comic Dragon,"Yamada, Norie (Story), Yoshizuki, Kumichi (Art)",True,Drama,Slice of Life,
Asu no Yoichi!,"Comedy,Romance,Ecchi",5169,1000,6.72,12,24 min. per ep.,TV ,Jan 2009 , Mar 2009,208502,7.15,6510.0,1150.0,15749.0,65,"May  2, 2006 to Feb  5, 2011",['Shounen'],Shounen Champion (Monthly),"Minamoto, Yuu (Story & Art)",True,Comedy,Romance,Ecchi
UFO Princess Valkyrie,"Comedy,Sci-Fi,Ecchi",5166,4317,6.72,12,23 min. per ep.,TV ,Jul 2002 , Sep 2002,21276,7.34,4314.0,19863.0,595.0,72,"Feb  12, 2002 to Aug  11, 2007",['Shounen'],Shounen Gangan,Kaishaku (Story & Art),True,Comedy,Sci-Fi,Ecchi
