PC1,PC2,Title,Anime_Score,Anime_Rank,Anime_Popularity,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Genre_1,Genre_2,Genre_3
0.012943126671178296,1.1009505470342453,Seireitsukai no Blade Dance,6.73,5131.0,561,367912,7.92,927.0,2305.0,8455.0,Action,Comedy,Fantasy
-2.7132611767648065,0.1596574886984738,Kono Minikuku mo Utsukushii Sekai,6.73,5117.0,2453,61700,7.09,7345.0,13895.0,1064.0,Comedy,Drama,Romance
-0.3736223189932933,1.3456847931109581,Shinmai Maou no Testament,6.73,5136.0,279,683755,7.49,2968.0,2315.0,8430.0,Action,Fantasy,Romance
-3.0824582661144007,-0.17279965407372697,Aishite Knight,6.74,5072.0,6174,9237,7.18,6135.0,15407.0,908.0,Comedy,Romance,
-1.2932923759035868,0.7539128074512563,3x3 Eyes,6.73,5100.0,3756,29127,7.49,2978.0,2212.0,8786.0,Action,Fantasy,Horror
-2.7412089179446966,0.03011788732226185,Xi Xing Ji,6.74,5070.0,10690,2453,7.41,3642.0,7837.0,2300.0,Action,Adventure,Fantasy
-3.003428976759847,0.025187491707152763,Ushinawareta Mirai wo Motomete,6.74,5066.0,1914,93593,7.01,8560.0,16929.0,781.0,Drama,Romance,Sci-Fi
-1.7177727446799174,1.1593403975866343,Midara na Ao-chan wa Benkyou ga Dekinai,6.74,5042.0,840,280749,7.05,7966.0,1700.0,11324.0,Comedy,Romance,Ecchi
-1.144977577428137,1.5796773723141608,Tenkuu Shinpan,6.75,5038.0,803,334874,7.14,6626.0,318.0,49270.0,Action,Horror,Mystery
-3.1596116370925973,0.0749362878159181,Night Head Genesis,6.75,5028.0,3503,31868,6.98,8927.0,13955.0,1058.0,Drama,Mystery,Sci-Fi
-4.481465617399033,-0.8858005044247687,Kiteretsu Daihyakka,6.75,5017.0,7382,6528,6.96,9201.0,27079.0,322.0,Comedy,Drama,Slice of Life
-1.7870648447998747,-0.004750318295565889,Maburaho,6.76,4985.0,1835,98159,7.45,3276.0,15521.0,898.0,Comedy,Drama,Romance
-2.9673288904573822,-0.18944932764068761,Hitohira,6.76,4978.0,4266,20706,7.14,6678.0,16760.0,794.0,Drama,Romance,Slice of Life
-1.8442807379858046,0.5517459653616152,Doujin Work,6.76,4975.0,3665,28701,7.28,4982.0,4609.0,4217.0,Comedy,Slice of Life,
-0.025848390004605665,1.3039991992190272,Masamune-kun no Revenge,6.75,5022.0,199,891963,7.64,1982.0,3949.0,5025.0,Comedy,Romance,
-1.4186052258456197,0.825086573709733,Brave 10,6.76,4969.0,1338,148950,7.26,5231.0,3393.0,5886.0,Action,Adventure,
-2.5951501568273803,0.002357551767639146,Schwarzesmarken,6.76,4953.0,1687,112663,7.12,7000.0,16513.0,812.0,Action,Drama,Sci-Fi
-0.8530518088170892,0.5171101394028436,Golgo 13,6.77,4910.0,4601,19809,7.86,1083.0,3328.0,6013.0,Action,Adventure,Drama
-3.6861432734300497,-0.5138168928008175,Dr. Rin ni Kiitemite!,6.77,4907.0,8007,4830,7.1,7175.0,18887.0,651.0,Comedy,Fantasy,Romance
