Date,Comedy,Action,Drama,Romance,Fantasy,Adventure,Slice of Life,Supernatural,Sci-Fi,Mystery,Ecchi,Horror,Sports,Girls Love,Suspense,Boys Love,Gourmet,Avant Garde
2006-12,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2007-01,3,0,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0
2007-03,0,1,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0
2007-04,8,6,2,8,5,3,1,1,0,0,0,1,1,0,0,0,0,0
2007-06,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07,4,3,2,0,2,1,1,1,0,2,0,2,0,0,0,0,0,0
2007-08,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2007-10,5,0,1,1,2,0,2,5,0,3,1,0,1,0,0,0,1,0
2008-01,3,0,1,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0
2008-03,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2008-04,11,8,4,7,3,1,2,5,3,1,1,0,0,0,0,1,0,0
2008-07,3,1,2,2,1,1,2,1,0,0,1,0,0,0,0,0,0,0
2008-08,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2008-09,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2008-10,6,6,4,3,1,1,1,3,1,3,0,1,0,0,1,0,0,0
2009-01,3,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0
2009-02,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2009-04,2,4,4,5,3,3,0,2,0,1,0,0,1,0,1,0,1,0
2009-06,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2009-07,3,2,0,3,0,0,3,3,2,2,0,1,0,1,0,0,0,0
2009-08,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2009-10,5,5,3,4,5,3,1,1,2,1,0,0,0,2,0,0,0,0
2010-01,4,5,1,4,1,1,1,2,0,1,2,0,0,0,0,0,0,0
2010-02,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010-04,6,2,5,5,1,2,0,1,0,2,1,0,1,0,1,1,0,0
2010-07,4,5,0,2,2,2,1,3,1,1,0,2,0,0,0,0,0,0
2010-10,6,1,1,3,0,0,3,3,1,1,1,1,0,0,0,1,0,0
2010-12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-01,3,6,4,4,0,1,1,3,2,1,0,0,0,0,1,0,0,0
2011-03,1,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2011-04,7,5,3,2,1,1,4,1,3,1,1,1,0,0,1,0,0,0
2011-05,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2011-07,5,4,2,2,0,0,1,4,0,2,2,1,1,1,0,0,0,0
2011-09,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-10,5,6,3,4,3,2,1,3,3,0,2,0,1,0,0,0,1,0
2011-12,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-01,7,3,2,4,0,1,2,2,1,1,1,1,1,0,0,0,0,0
2012-04,6,6,3,5,0,2,3,0,3,2,1,3,0,0,0,0,0,0
2012-06,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2012-07,6,3,3,6,4,2,2,4,1,1,1,0,0,0,0,0,0,0
