Date,Comedy,Action,Drama,Romance,Fantasy,Adventure,Slice of Life,Supernatural,Sci-Fi,Mystery,Ecchi,Horror,Sports,Girls Love,Suspense,Boys Love,Gourmet,Avant Garde
2002-07,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2002-08,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2002-09,3,1,2,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0
2002-10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2003-03,7,3,4,3,2,3,2,1,2,2,0,0,0,0,0,0,0,0
2003-07,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
2003-08,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2003-09,3,2,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
2003-10,2,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
2003-11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-12,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2004-01,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2004-02,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2004-03,4,2,4,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0
2004-04,1,0,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2004-06,2,3,6,4,0,1,1,1,1,0,0,1,0,0,0,0,0,0
2004-08,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2004-09,3,3,0,1,0,3,0,0,1,0,1,1,1,0,0,0,0,0
2004-10,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2004-12,3,2,2,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0
2005-03,6,3,5,3,1,3,2,0,1,2,0,0,0,0,0,0,0,0
2005-04,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2005-06,2,1,2,3,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2005-09,3,2,3,1,1,1,1,0,1,3,0,0,0,0,1,0,0,0
2005-10,2,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
2005-12,2,1,4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2006-01,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-03,5,2,3,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0
2006-04,0,0,1,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0
2006-05,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2006-06,1,2,3,1,3,2,1,0,0,1,0,0,0,0,0,0,0,0
2006-07,1,1,1,1,2,2,0,0,2,1,0,0,0,0,0,0,0,0
2006-08,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-09,8,6,6,4,2,3,1,1,0,2,1,1,0,1,0,0,0,0
2006-11,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12,5,1,6,6,0,1,2,1,1,1,0,0,0,0,0,0,1,0
2007-02,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2007-03,8,6,5,4,3,1,4,4,0,2,1,1,0,0,0,0,0,0
2007-06,1,0,3,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0
2007-07,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2007-08,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2007-09,9,8,1,5,8,3,1,2,0,1,0,3,1,0,0,0,0,0
2007-10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007-12,3,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0
2008-02,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2008-03,5,1,2,5,4,3,1,4,0,3,1,0,0,0,0,0,0,0
2008-04,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-06,4,3,1,3,1,0,2,2,0,0,1,0,0,0,0,0,0,0
2008-07,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2008-09,9,5,4,5,2,3,3,3,2,0,1,0,0,0,0,1,0,0
2008-10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2008-12,4,3,1,2,1,1,1,3,0,1,0,1,0,0,1,0,0,0
2009-02,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2009-03,7,5,5,4,2,1,0,1,2,1,1,0,0,1,0,0,0,0
2009-04,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2009-06,2,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0
2009-08,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2009-09,2,4,1,2,3,3,4,1,2,1,0,0,0,1,1,0,0,0
2009-10,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2009-12,5,3,0,3,1,1,0,1,2,2,0,1,0,2,1,0,0,0
2010-02,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03,5,2,3,3,3,1,2,1,1,0,1,0,1,0,0,0,0,0
2010-04,1,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2010-06,4,4,1,4,1,0,0,4,0,2,2,0,0,0,0,0,0,0
2010-07,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2010-09,3,2,4,2,1,1,1,1,1,0,0,1,1,0,1,1,0,0
2010-12,5,5,0,3,1,2,3,6,1,2,1,2,0,0,0,1,0,0
2011-03,2,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2011-04,4,3,4,3,0,0,1,1,3,0,0,0,0,0,1,0,0,0
2011-05,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-06,2,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0
2011-07,2,2,1,2,0,0,1,0,2,1,0,1,0,0,0,0,0,0
2011-09,6,3,4,3,0,0,2,3,1,2,2,0,1,1,1,0,0,0
2011-10,1,2,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
2011-11,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-12,6,5,3,3,3,0,0,3,1,1,2,0,0,0,1,0,1,0
2012-03,5,7,3,4,1,4,2,3,3,1,1,1,1,0,0,0,0,0
2012-06,6,6,3,4,0,1,1,1,1,1,1,4,0,0,0,0,0,0
2012-07,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-09,7,2,3,7,2,1,2,4,1,2,1,0,1,0,0,0,0,0
2012-10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-11,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-12,9,6,0,6,2,2,1,3,3,1,1,1,1,0,0,0,0,0
2013-01,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2013-03,8,6,4,2,5,4,4,1,2,3,0,1,0,0,1,1,0,0
2013-04,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-05,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-06,7,2,2,7,3,1,3,1,3,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-09,7,4,2,2,3,1,4,2,0,2,1,1,0,0,0,0,0,0
2013-12,3,2,1,3,3,0,4,2,1,1,1,0,0,0,0,0,0,0
2014-02,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-03,9,6,1,5,4,2,3,4,2,0,0,0,0,1,0,0,0,0
2014-04,2,0,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0
2014-05,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06,9,4,1,3,4,2,2,2,2,1,2,0,0,2,0,0,0,0
2014-07,1,2,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
2014-09,9,8,2,5,4,1,2,1,3,0,1,1,0,0,0,0,0,0
2014-12,8,7,4,5,8,2,4,3,2,0,0,1,0,0,1,0,0,0
2015-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015-02,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-03,3,5,2,7,6,2,0,1,0,0,1,0,0,1,0,0,0,0
2015-06,3,5,1,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0
2015-07,1,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0
2015-08,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,10,7,4,7,8,3,4,1,0,2,4,2,0,0,0,0,2,0
2015-10,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-12,2,5,0,2,3,0,1,1,0,0,0,0,0,1,0,0,0,0
2016-02,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-03,3,6,2,1,3,2,2,0,4,0,0,0,2,0,0,0,0,0
2016-04,2,2,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0
2016-06,8,2,1,3,0,0,5,1,1,1,1,0,0,0,0,1,0,0
2016-07,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-08,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2016-09,8,4,5,2,2,1,5,2,1,0,0,0,0,0,1,0,1,0
2016-10,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2016-11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12,5,4,2,2,2,2,3,2,1,1,2,0,1,0,0,0,0,0
2017-01,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-02,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-03,5,2,4,4,4,1,3,2,2,2,1,0,0,0,0,0,0,0
2017-04,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2017-06,5,3,2,3,3,1,2,1,1,0,0,0,0,0,0,0,0,0
2017-07,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2017-09,8,3,3,5,5,2,3,0,1,1,0,0,1,0,0,1,1,0
2017-12,5,2,5,4,5,2,3,1,3,2,0,0,0,1,0,0,1,0
2018-02,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03,9,2,4,2,3,3,9,2,0,2,0,0,0,1,0,0,0,0
2018-04,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-06,2,5,3,3,2,1,2,0,0,0,0,1,0,0,0,0,0,0
2018-07,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-08,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2018-09,4,2,6,3,1,0,2,2,3,1,1,1,0,1,1,0,0,0
2018-10,1,3,1,0,1,3,0,0,0,1,0,1,0,0,1,0,0,0
2018-12,6,3,4,4,2,2,2,0,0,0,0,0,0,2,0,0,0,0
2019-01,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2019-03,4,3,3,2,0,1,2,0,2,1,0,0,1,1,1,0,0,0
2019-04,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2019-06,5,4,5,5,2,3,2,4,0,4,1,0,0,0,0,0,0,0
2019-07,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-09,6,4,5,4,4,3,2,0,2,1,2,0,0,0,0,1,0,0
2019-10,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2019-11,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0
2019-12,4,3,3,1,2,2,2,1,2,0,0,0,0,0,0,0,1,0
2020-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-03,7,3,3,2,4,2,5,5,1,5,0,0,0,1,0,0,0,0
2020-06,3,3,5,3,3,0,2,1,0,1,1,0,0,0,0,0,0,0
2020-09,3,2,1,2,3,0,2,0,1,0,1,0,1,0,0,0,0,0
2020-10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12,5,5,2,5,6,4,4,2,1,1,0,0,0,1,2,0,0,0
2021-02,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2021-03,5,2,2,1,4,1,3,4,1,2,1,1,0,1,0,0,0,0
2021-04,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0
2021-05,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06,6,5,5,2,3,0,3,2,2,0,0,0,1,0,1,0,0,0
2021-07,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0
2021-08,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2021-09,5,3,4,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0
2021-10,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12,6,2,3,3,3,3,3,4,1,0,1,2,0,0,0,1,0,0
2022-01,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
2022-02,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-03,2,2,0,2,5,5,4,0,0,0,0,0,1,0,0,1,0,0
2022-04,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06,5,4,1,2,5,2,0,2,0,0,0,0,0,0,0,0,0,0
2022-07,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2022-09,3,1,1,2,1,0,2,2,1,2,0,0,0,0,1,0,0,0
2022-10,1,1,1,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0
2022-12,5,1,3,3,2,1,2,0,0,2,0,0,0,0,0,0,0,0
2023-01,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
