Date,Comedy,Action,Drama,Romance,Fantasy,Adventure,Slice of Life,Sci-Fi,Supernatural,Mystery,Ecchi,Horror,Sports,Suspense,Girls Love,Gourmet,Boys Love,Avant Garde
2003-10,3,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0
2003-12,0,1,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2004-01,3,2,5,4,0,3,1,2,0,0,0,0,0,0,0,0,0,0
2004-03,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-04,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2004-05,1,2,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0
2004-07,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2004-08,2,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0
2004-09,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2004-10,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2004-12,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2005-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-02,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2005-04,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-05,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-07,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
2005-08,2,1,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0
2005-09,1,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0
2005-10,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2005-11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2005-12,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2006-01,3,2,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
2006-02,0,1,1,1,0,0,2,1,1,0,0,1,0,0,0,0,0,0
2006-03,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2006-04,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-05,1,2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
2006-07,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2006-08,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2006-09,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2006-10,1,2,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
2006-11,1,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2006-12,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2007-01,3,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0
2007-02,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2007-03,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04,2,1,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2007-05,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2007-08,2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2007-09,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007-11,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12,2,2,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0
2008-01,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2008-02,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2008-03,1,3,3,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0
2008-04,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2008-07,2,2,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0
2008-08,0,0,0,0,2,1,0,0,1,3,0,2,0,0,0,0,0,0
2008-09,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2008-10,1,2,2,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0
2008-11,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2008-12,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
2009-01,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
2009-02,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2009-03,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2009-04,4,1,3,3,1,0,1,1,3,2,1,0,0,0,0,0,0,0
2009-05,1,1,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2009-06,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2009-07,0,0,1,0,1,1,1,0,2,2,0,0,0,0,0,0,0,0
2009-08,2,0,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0
2009-09,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2009-11,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2009-12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2010-01,1,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
2010-02,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2010-03,2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2010-04,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0
2010-05,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2010-06,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07,0,2,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
2010-08,3,3,3,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0
