Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga,Genre_1,Genre_2,Genre_3,Anime_StartDate,Anime_EndDate,Manga_StartDate,Manga_EndDate
Super Secret,"Comedy,Romance,Supernatural",5849,12591,6.59,22,8 min. per ep.,ONA ,1111,7.84,1163.0,2301.0,8472.0,144,"Mar  30, 2015 to Jan  22, 2018",[],Naver Webtoon,eon (Story & Art),True,Comedy,Romance,Supernatural,2020-05-01,2021-02-01,2015-03-30,2018-01-22
"Dakara Boku wa, H ga Dekinai.","Comedy,Romance,Supernatural,Ecchi",5888,482,6.58,12,25 min. per ep.,TV ,422886,7.01,8495.0,6490.0,2890.0,72,"Jun  19, 2010 to Aug  20, 2013",[],,"Tachibana, Pan (Story), Katsurai, Yoshiaki (Art)",True,Comedy,Romance,Supernatural,2012-07-01,2012-09-01,2010-06-19,2013-08-20
DearS,"Comedy,Romance,Sci-Fi,Ecchi",5889,1343,6.58,12,23 min. per ep.,TV ,149650,7.14,6662.0,1755.0,10921.0,47,"Aug  27, 2001 to Sep  27, 2005",['Shounen'],Dengeki Comic Gao!,PEACH‐PIT (Story & Art),True,Comedy,Romance,Sci-Fi,2004-07-01,2004-09-01,2001-08-27,2005-09-27
Teekyuu,"Comedy,Sports",5950,2356,6.57,12,2 min. per ep.,TV ,67685,7.08,7511.0,9735.0,1748.0,143,"Feb  10, 2012 to Jan  25, 2018",[],Comic Earth☆Star,"Terada, Tsugeo (Story), Piyo (Art)",True,Comedy,Sports,,2012-10-01,2012-12-01,2012-02-10,2018-01-25
Fragtime,"Girls Love,Romance,Sci-Fi,Slice of Life",5998,3135,6.56,1,1 hr.,Movie ,47216,7.06,7769.0,1423.0,13415.0,18,"Mar  18, 2013 to Sep  25, 2014",[],Champion Tap!,Sato (Story & Art),True,Girls Love,Romance,Sci-Fi,2019-11-01,2019-11-01,2013-03-18,2014-09-25
Honoo no Mirage,"Action,Boys Love,Drama,Romance,Supernatural",6242,4024,6.52,13,24 min. per ep.,TV ,24495,7.4,3722.0,16327.0,826.0,Unknown,"Nov  2, 1990 to Apr  27, 2004",['Shoujo'],,"Hamada, Shoko (Art), Kuwabara, Mizuna (Story), Toujou, Kazumi (Art)",True,Action,Boys Love,Drama,2002-01-01,2002-04-01,1990-11-02,2004-04-27
Eden's Bowy,"Action,Adventure,Fantasy,Romance,Sci-Fi",6441,6754,6.48,26,24 min. per ep.,TV ,7243,7.11,7125.0,18748.0,659.0,127,"Dec  10, 1993 to Sep  26, 2009",[],Shounen Ace,"Tennouji, Kitsune (Story & Art)",True,Action,Adventure,Fantasy,1999-04-01,1999-09-01,1993-12-10,2009-09-26
Devilman,"Action,Horror,Supernatural",6439,3631,6.48,39,25 min. per ep.,TV ,33908,8.04,676.0,297.0,52978.0,53,"Jun  11, 1972 to Jun  24, 1973",['Shounen'],Shounen Magazine (Weekly),"Nagai, Go (Story & Art)",True,Action,Horror,Supernatural,1972-07-01,1973-04-01,1972-06-11,1973-06-24
Arata Kangatari,"Adventure,Fantasy",6546,2242,6.46,12,24 min. per ep.,TV ,73284,7.38,3868.0,2330.0,8378.0,Unknown,"Oct  1, 2008 to ?",['Shounen'],Shounen Sunday,"Watase, Yuu (Story & Art)",True,Adventure,Fantasy,,2013-04-01,2013-07-01,2008-10-01,Ongoing or Hiatus
Sukeban Deka,"Action,Drama",6644,6897,6.44,2,47 min. per ep.,OVA ,7632,7.18,6148.0,11034.0,1469.0,132,"Dec  5, 1975 to Nov  20, 1982",['Shoujo'],Hana to Yume,"Wada, Shinji (Story & Art)",True,Action,Drama,,1991-04-01,1991-07-01,1975-12-05,1982-11-20
Katsute Kami Datta Kemono-tachi e,"Action,Drama,Fantasy",6898,1553,6.4,12,23 min. per ep.,TV ,136386,6.98,8951.0,1951.0,9778.0,89,"Jun  9, 2014 to Jun  9, 2023",['Shounen'],Bessatsu Shounen Magazine,Maybe (Story & Art),True,Action,Drama,Fantasy,2019-07-01,2019-09-01,2014-06-09,2023-06-09
Kanokon,"Comedy,Romance,Slice of Life,Supernatural,Ecchi",6897,842,6.4,12,24 min. per ep.,TV ,251722,7.22,5640.0,8193.0,2179.0,91,"Oct  25, 2005 to Dec  24, 2010",['Shounen'],,"Nishino, Katsumi (Story), Koin (Art)",True,Comedy,Romance,Slice of Life,2008-04-01,2008-06-01,2005-10-25,2010-12-24
Nozo x Kimi,"Comedy,Romance,Ecchi",6941,3305,6.39,3,23 min. per ep.,OVA ,39041,7.05,7943.0,901.0,19543.0,63,"Feb  22, 2011 to Apr  15, 2015",['Shounen'],Shounen Sunday,"Honna, Wakou (Story & Art)",True,Comedy,Romance,Ecchi,2014-08-01,2015-02-01,2011-02-22,2015-04-15
Eat-Man,"Action,Adventure,Sci-Fi",6882,5559,6.4,12,24 min. per ep.,TV ,12505,7.53,2668.0,5190.0,3705.0,101,"Jan  27, 1996 to Jul  26, 2003",['Shounen'],Dengeki Comic Gao!,"Yoshitomi, Akihito (Story & Art)",True,Action,Adventure,Sci-Fi,1997-01-01,1997-03-01,1996-01-27,2003-07-26
Happiness!,"Comedy,Romance",7000,3234,6.38,12,25 min. per ep.,TV ,36950,6.96,9283.0,18064.0,701.0,11,2006 to ?,['Seinen'],Comic Alive,"Fujii, Rino (Story & Art)",True,Comedy,Romance,,2006-10-01,2006-12-01,2006-01-01,Ongoing or Hiatus
Yume de Aetara,"Comedy,Drama,Romance,Ecchi",7044,7306,6.37,3,30 min. per ep.,OVA ,6141,7.54,2645.0,3989.0,4970.0,143,Feb  1994 to Dec  1999,['Seinen'],Business Jump,"Yamahana, Noriyuki (Story & Art)",True,Comedy,Drama,Romance,1998-04-01,1998-12-01,1994-02-01,1999-12-01
Sasuga no Sarutobi,"Action,Adventure,Comedy,Romance,Sports",7137,10812,6.35,69,25 min. per ep.,TV ,2190,7.38,3875.0,18742.0,660.0,46,"Jul  28, 1980 to Mar  30, 1984",['Shounen'],Shounen Sunday Super,"Hosono, Fujihiko (Story & Art)",True,Action,Adventure,Comedy,1982-10-01,1984-03-01,1980-07-28,1984-03-30
Island,"Drama,Sci-Fi",7299,1484,6.32,12,23 min. per ep.,TV ,133483,7.07,7611.0,6238.0,3012.0,46,1997 to  2001,[],Young Champ,"Yoon, In-Wan (Story), Yang, Kyung-il (Art)",True,Drama,Sci-Fi,,2018-07-01,2018-09-01,1997-01-01,2001-01-01
Umi no Triton,"Adventure,Fantasy",7597,10042,6.26,27,23 min. per ep.,TV ,2672,7.31,4641.0,17171.0,761.0,33,"Sep  1, 1969 to Dec  31, 1971",['Shounen'],,"Tezuka, Osamu (Story & Art)",True,Adventure,Fantasy,,1972-04-01,1972-09-01,1969-09-01,1971-12-31
Kenja no Deshi wo Nanoru Kenja,"Adventure,Fantasy",7649,1982,6.25,12,23 min. per ep.,TV ,124673,7.49,2935.0,5123.0,3751.0,Unknown,"Jun  30, 2014 to ?",[],,"Fuji, Choko (Art), Ryuusen, Hirotsugu (Story)",True,Adventure,Fantasy,,2022-01-01,2022-03-01,2014-06-30,Ongoing or Hiatus
Wild Adapter,"Action,Drama,Mystery",7798,6162,6.22,2,28 min. per ep.,OVA ,8424,8.08,601.0,2406.0,8145.0,52,"2001 to Mar  4, 2016",[],Zero-Sum Online,"Minekura, Kazuya (Story & Art)",True,Action,Drama,Mystery,2014-03-01,2015-09-01,2001-01-01,2016-03-04
Kekkaishi,"Fantasy,Supernatural",10137,13237,5.69,1,30 sec.,TV ,111689,8.0,736.0,568.0,29836.0,345,"Feb  18, 2004 to Apr  6, 2011",['Shounen'],Shounen Sunday,"Tanabe, Yellow (Story & Art)",True,Fantasy,Supernatural,,2006-10-01,2008-02-01,2004-02-18,2011-04-06
Mou Ippon!,"Slice of Life,Sports",/A,11486,,Unknown,Unknown,TV ,23246,7.38,3916.0,12691.0,1210.0,Unknown,"Oct  18, 2018 to ?",['Shounen'],Shounen Champion (Weekly),"Muraoka, Yuu (Story & Art)",True,Slice of Life,Sports,,2023-01-01,2023-04-01,2018-10-18,Ongoing or Hiatus
Mononogatari,"Action,Supernatural",/A,10348,,Unknown,Unknown,TV ,67107,7.28,4951.0,6583.0,2843.0,100,"Apr  15, 2014 to Jun  19, 2023",['Seinen'],Ultra Jump,Onigunsou (Story & Art),True,Action,Supernatural,,2023-01-01,2023-03-01,2014-04-15,2023-06-19
Spy Kyoushitsu,"Action,Comedy,Mystery,Romance",/A,20139,,Unknown,Unknown,TV ,146654,7.7,1699.0,4449.0,4381.0,Unknown,"Jan  18, 2020 to ?",[],,"Tomari (Art), Takemachi (Story)",True,Action,Comedy,Mystery,2023-01-01,2023-03-01,2020-01-18,Ongoing or Hiatus
Mushikaburi-hime,"Drama,Romance",/A,19908,,Unknown,Unknown,TV ,73848,7.1,7266.0,4699.0,4123.0,Unknown,"Aug  28, 2018 to ?",['Josei'],Comic ZERO-SUM,"Kikuta, Yui (Art), Yui (Story)",True,Drama,Romance,,2022-10-01,2022-12-01,2018-08-28,Ongoing or Hiatus
Akuyaku Reijou nanode Last Boss wo Kattemimashita,"Comedy,Fantasy,Romance",/A,6826,,Unknown,Unknown,TV ,173950,7.52,2759.0,1239.0,15002.0,15,"Jun  26, 2018 to Aug  26, 2019",[],Comp Ace,"Nagase, Sarasa (Story), Yuzu, Anko (Art)",True,Comedy,Fantasy,Romance,2022-10-01,2022-12-01,2018-06-26,2019-08-26
Cool Doji Danshi,"Comedy,Slice of Life",/A,19532,,Unknown,Unknown,TV ,94045,7.88,1044.0,2930.0,6778.0,Unknown,"Jun  22, 2019 to ?",[],,"Nata, Kokone (Story & Art)",True,Comedy,Slice of Life,,2022-10-01,2023-03-01,2019-06-22,Ongoing or Hiatus
Sugar Apple Fairy Tale,"Adventure,Fantasy,Romance",/A,12365,,Unknown,Unknown,TV ,115241,7.62,2092.0,9402.0,1821.0,Unknown,"Apr  1, 2010 to Feb  1, 2015",[],,"Aki (Art), Mikawa, Miri (Story)",True,Adventure,Fantasy,Romance,2023-01-01,2023-03-01,2010-04-01,2015-02-01
Helck,"Action,Fantasy",/A,19671,,Unknown,Unknown,TV ,94636,8.19,436.0,438.0,38116.0,111,"May  5, 2014 to Dec  18, 2017",[],Ura Sunday,"Nanao, Nanaki (Story & Art)",True,Action,Fantasy,,2023-07-01,2023-12-01,2014-05-05,2017-12-18
Lv1 Maou to One Room Yuusha,"Comedy,Fantasy",/A,19828,,Unknown,Unknown,TV ,72767,7.45,3309.0,6981.0,2645.0,Unknown,"Mar  1, 2019 to ?",[],Comic Fuz,toufu (Story & Art),True,Comedy,Fantasy,,2023-07-01,2023-09-01,2019-03-01,Ongoing or Hiatus
Kuro no Shoukanshi,"Action,Fantasy",/A,19798,,Unknown,Unknown,TV ,234585,7.25,5327.0,6237.0,3013.0,Unknown,"Jun  25, 2016 to ?",[],,"Kurogin (Art), Mayoidoufu (Story)",True,Action,Fantasy,,2022-07-01,2022-09-01,2016-06-25,Ongoing or Hiatus
Kumichou Musume to Sewagakari,"Comedy,Slice of Life",/A,4727,,Unknown,Unknown,TV ,223540,7.69,1733.0,2582.0,7643.0,Unknown,"Jun  5, 2018 to ?",[],Comic ELMO,Tsukiya (Story & Art),True,Comedy,Slice of Life,,2022-07-01,2022-09-01,2018-06-05,Ongoing or Hiatus
Kimi wo Aishita Hitori no Boku e,"Romance,Sci-Fi",/A,11407,,1,Unknown,Movie ,89700,7.48,3040.0,16915.0,782.0,11,"Jun  23, 2016",[],,"Yomoji, Otono (Story)",True,Romance,Sci-Fi,,2022-10-01,2022-10-01,2016-06-23,Ongoing or Hiatus
Kaminaki Sekai no Kamisama Katsudou,"Action,Comedy,Fantasy,Ecchi",/A,19772,,Unknown,Unknown,TV ,184178,7.08,7536.0,3643.0,5441.0,Unknown,"May  1, 2019 to ?",['Seinen'],Monthly Hero's,"Akashiro, Aoi (Story), Hangetsuban, Sonshou (Art)",True,Action,Comedy,Fantasy,2023-04-01,2023-07-01,2019-05-01,Ongoing or Hiatus
Kakegurui Twin,"Drama,Mystery",/A,4780,,Unknown,Unknown,ONA ,110794,7.86,1103.0,2071.0,9279.0,Unknown,"Sep  19, 2015 to ?",['Shounen'],Gangan Joker,"Kawamoto, Homura (Story), Saiki, Katsura (Art)",True,Drama,Mystery,,2022-08-01,2022-08-01,2015-09-19,Ongoing or Hiatus
Kagami no Kojou,"Drama,Fantasy,Mystery",/A,19744,,1,Unknown,Movie ,30346,8.09,597.0,15625.0,888.0,13,"May  11, 2017",[],,"Tsujimura, Mizuki (Story)",True,Drama,Fantasy,Mystery,2022-12-01,2022-12-01,2017-05-11,Ongoing or Hiatus
Kage no Jitsuryokusha ni Naritakute!,"Action,Comedy,Fantasy",/A,3131,,Unknown,Unknown,TV ,660103,8.44,186.0,812.0,21647.0,Unknown,"Nov  5, 2018 to ?",[],,"Touzai (Art), Aizawa, Daisuke (Story)",True,Action,Comedy,Fantasy,2022-10-01,2023-02-01,2018-11-05,Ongoing or Hiatus
Fuuto Tantei,"Action,Drama,Mystery,Supernatural",/A,7063,,Unknown,Unknown,TV ,68253,7.64,2000.0,9461.0,1806.0,Unknown,"Aug  7, 2017 to ?",['Seinen'],Big Comic Spirits,"Sanjou, Riku (Story), Satou, Masaki (Art)",True,Action,Drama,Mystery,2022-08-01,2022-10-01,2017-08-07,Ongoing or Hiatus
Isekai Ojisan,"Comedy,Fantasy",/A,5181,,Unknown,Unknown,TV ,358044,7.88,1042.0,942.0,18710.0,Unknown,"Jun  29, 2018 to ?",[],Web Comic Apanta,Hotondo Shindeiru (Story & Art),True,Comedy,Fantasy,,2022-07-01,2023-03-01,2018-06-29,Ongoing or Hiatus
"Fuufu Ijou, Koibito Miman.","Comedy,Drama,Romance",/A,6795,,Unknown,Unknown,TV ,315830,7.79,1331.0,338.0,46914.0,Unknown,"Mar  2, 2018 to ?",['Seinen'],Young Ace,"Kanamaru, Yuuki (Story & Art)",True,Comedy,Drama,Romance,2022-10-01,2022-12-01,2018-03-02,Ongoing or Hiatus
Chainsaw Man,"Action,Adventure",/A,463,,Unknown,Unknown,TV ,1552791,8.73,45.0,4.0,595803.0,Unknown,"Dec  3, 2018 to ?",['Shounen'],Shounen Jump+,"Fujimoto, Tatsuki (Story & Art)",True,Action,Adventure,,2022-10-01,2022-12-01,2018-12-03,Ongoing or Hiatus
Boku ga Aishita Subete no Kimi e,"Romance,Sci-Fi",/A,10717,,1,Unknown,Movie ,97225,7.46,3216.0,14136.0,1039.0,10,"Jun  23, 2016",[],,"Yomoji, Otono (Story)",True,Romance,Sci-Fi,,2022-10-01,2022-10-01,2016-06-23,Ongoing or Hiatus
Boku ga Aishita Subete no Kimi e,"Romance,Sci-Fi",/A,10717,,1,Unknown,Movie ,97225,7.46,3216.0,14136.0,1039.0,10,"Jun  23, 2016",[],,"Yomoji, Otono (Story)",True,Romance,Sci-Fi,,2022-10-01,2022-10-01,2016-06-23,Ongoing or Hiatus
Bocchi the Rock!,"Comedy,Slice of Life",/A,6755,,Unknown,Unknown,TV ,590200,8.31,289.0,1020.0,17508.0,Unknown,"Dec  19, 2017 to ?",[],Manga Time Kirara MAX,"Hamaji, Aki (Story & Art)",True,Comedy,Slice of Life,,2022-10-01,2022-12-01,2017-12-19,Ongoing or Hiatus
4-nin wa Sorezore Uso wo Tsuku,"Comedy,Slice of Life",/A,19417,,Unknown,Unknown,TV ,37474,7.06,7748.0,15286.0,921.0,34,"Apr  9, 2020 to Mar  9, 2023",['Shounen'],Bessatsu Shounen Magazine,"Kashihara, Madoka (Story & Art)",True,Comedy,Slice of Life,,2022-10-01,2022-12-01,2020-04-09,2023-03-09
Yofukashi no Uta,"Romance,Supernatural",/A,2181,,Unknown,Unknown,TV ,600869,8.17,460.0,172.0,82877.0,Unknown,"Aug  28, 2019 to ?",['Shounen'],Shounen Sunday,Kotoyama (Story & Art),True,Romance,Supernatural,,2022-07-01,2022-09-01,2019-08-28,Ongoing or Hiatus
Yoru wa Neko to Issho,"Comedy,Slice of Life",/A,20310,,Unknown,Unknown,TV ,13977,7.38,3885.0,14310.0,1020.0,Unknown,"Oct  29, 2020 to ?",[],,Kyuru Z (Story & Art),True,Comedy,Slice of Life,,2022-08-01,2023-01-01,2020-10-29,Ongoing or Hiatus
Under Ninja,"Action,Comedy,Drama,Slice of Life",/A,8576,,Unknown,Unknown,TV ,65056,7.14,6736.0,3724.0,5335.0,Unknown,"Jul  23, 2018 to ?",['Seinen'],Young Magazine (Weekly),"Hanazawa, Kengo (Story & Art)",True,Action,Comedy,Drama,2023-10-01,2023-12-01,2018-07-23,Ongoing or Hiatus
Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,"Comedy,Fantasy,Romance",/A,20197,,Unknown,Unknown,TV ,92109,7.72,1623.0,2982.0,6670.0,Unknown,"Jun  5, 2019 to ?",['Shoujo'],B's-LOG Comic,"Sakaki, Rumiwo (Art), Enoshima, Suzu (Story)",True,Comedy,Fantasy,Romance,2023-01-01,2023-03-01,2019-06-05,Ongoing or Hiatus
Soredemo Ayumu wa Yosetekuru,"Comedy,Slice of Life",/A,2970,,Unknown,Unknown,TV ,165233,7.51,2839.0,478.0,34776.0,225,"Mar  6, 2019 to Nov  15, 2023",['Shounen'],Shounen Magazine (Weekly),"Yamamoto, Souichirou (Story & Art)",True,Comedy,Slice of Life,,2022-07-01,2022-09-01,2019-03-06,2023-11-15
Pluto,"Action,Mystery,Sci-Fi",/A,5601,,Unknown,Unknown,ONA ,166718,8.63,80.0,103.0,117146.0,65,"Sep  9, 2003 to Apr  1, 2009",['Seinen'],Big Comic Original,"Urasawa, Naoki (Story & Art), Tezuka, Osamu (Story)",True,Action,Mystery,Sci-Fi,2023-10-01,2023-10-01,2003-09-09,2009-04-01
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,"Comedy,Romance",/A,19952,,Unknown,Unknown,TV ,319358,8.49,147.0,984.0,17963.0,Unknown,"Jun  14, 2019 to ?",[],,"Kazutake, Hazano (Art), Hanekoto (Art), Saeki-san (Story)",True,Comedy,Romance,,2023-01-01,2023-03-01,2019-06-14,Ongoing or Hiatus
Oniichan wa Oshimai!,"Comedy,Slice of Life",/A,19942,,Unknown,Unknown,TV ,151528,7.78,1374.0,995.0,17810.0,Unknown,"Jun  27, 2018 to ?",[],,Nekotoufu (Story & Art),True,Comedy,Slice of Life,,2023-01-01,2023-03-01,2018-06-27,Ongoing or Hiatus
Otonari ni Ginga,"Comedy,Romance",/A,19951,,Unknown,Unknown,TV ,142887,7.44,3369.0,2148.0,9044.0,37,"Apr  7, 2020 to May  6, 2023",['Seinen'],good! Afternoon,"Amagakure, Gido (Story & Art)",True,Comedy,Romance,,2023-04-01,2023-06-01,2020-04-07,2023-05-06
Nozomanu Fushi no Boukensha,"Action,Adventure,Fantasy",/A,19936,,Unknown,Unknown,TV ,136104,7.38,3906.0,1058.0,16985.0,Unknown,"Nov  24, 2017 to ?",[],Comic Gardo,"Nakasone, Haiji (Art), Okano, Yuu (Story)",True,Action,Adventure,Fantasy,2024-01-01,2024-03-01,2017-11-24,Ongoing or Hiatus
"Natsu e no Tunnel, Sayonara no Deguchi","Drama,Mystery,Sci-Fi",/A,5844,,1,Unknown,Movie ,156492,8.36,240.0,3966.0,5002.0,6,"Jul  18, 2019",[],,"Hachimoku, Mei (Story), Kukka (Art)",True,Drama,Mystery,Sci-Fi,2022-09-01,2022-09-01,2019-07-18,Ongoing or Hiatus
Migi to Dali,"Comedy,Mystery",/A,19876,,Unknown,Unknown,TV ,77082,7.85,1112.0,5101.0,3764.0,44,"Jul  15, 2017 to Nov  15, 2021",['Seinen'],Harta,"Sano, Nami (Story & Art)",True,Comedy,Mystery,,2023-10-01,2023-12-01,2017-07-15,2021-11-15
Niehime to Kemono no Ou,"Fantasy,Romance",/A,7351,,Unknown,Unknown,TV ,75748,7.94,866.0,1252.0,14900.0,89,"Aug  5, 2015 to Oct  20, 2020",['Shoujo'],Hana to Yume,"Tomofuji, Yuu (Story & Art)",True,Fantasy,Romance,,2023-04-01,2023-09-01,2015-08-05,2020-10-20
Meitantei Conan: Hannin no Hanzawa-san,"Comedy,Mystery",/A,11572,,Unknown,Unknown,TV ,13101,7.14,6731.0,13932.0,1061.0,Unknown,"May  25, 2017 to ?",['Shounen'],Shounen Sunday Super,"Kanba, Mayuko (Story & Art)",True,Comedy,Mystery,,2022-10-01,2022-12-01,2017-05-25,Ongoing or Hiatus
Nanatsu no Maken ga Shihai suru,"Action,Fantasy",/A,19925,,Unknown,Unknown,TV ,149334,7.61,2188.0,6696.0,2784.0,Unknown,"Sep  7, 2018 to ?",[],,"Uno, Bokuto (Story), Miyuki, Ruria (Art)",True,Action,Fantasy,,2023-07-01,2023-10-01,2018-09-07,Ongoing or Hiatus
Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,"Action,Adventure,Fantasy",/A,8301,,Unknown,Unknown,TV ,168222,7.33,4356.0,13949.0,1058.0,Unknown,"Sep  25, 2019 to ?",[],,"Fuji, Shinta (Story), Kuroi, Susumu (Art)",True,Action,Adventure,Fantasy,2023-01-01,2023-03-01,2019-09-25,Ongoing or Hiatus
Mato Seihei no Slave,"Action,Fantasy,Supernatural",/A,5011,,Unknown,Unknown,TV ,182136,7.62,2131.0,248.0,62478.0,Unknown,"Jan  5, 2019 to ?",['Shounen'],Shounen Jump+,"Takemura, Youhei (Art), Takahiro (Story)",True,Action,Fantasy,Supernatural,2024-01-01,2024-03-01,2019-01-05,Ongoing or Hiatus
Mamahaha no Tsurego ga Motokano datta,"Comedy,Romance",/A,3342,,Unknown,Unknown,TV ,291167,7.56,2507.0,3796.0,5231.0,Unknown,"Dec  1, 2018 to ?",[],,"TakayaKi (Art), Kamishiro, Kyousuke (Story)",True,Comedy,Romance,,2022-07-01,2022-09-01,2018-12-01,Ongoing or Hiatus
Semantic Error,"Boys Love,Slice of Life",14025,20060,,4,4 min. per ep.,ONA ,8391,8.05,650.0,3777.0,5254.0,Unknown,"Jul  27, 2020 to ?",[],,"J. Soori (Story), Angy (Art)",True,Boys Love,Slice of Life,,2021-03-01,2021-04-01,2020-07-27,Ongoing or Hiatus
Otoko Ippiki Gaki Daishou,"Action,Drama",13459,11820,,156,10 min. per ep.,TV ,1592,7.3,4691.0,17086.0,767.0,152,"Nov  29, 1968 to Feb  27, 1973",['Shounen'],Shounen Jump (Weekly),"Motomiya, Hiroshi (Story & Art)",True,Action,Drama,,1969-09-01,1970-03-01,1968-11-29,1973-02-27
Baraou no Souretsu,"Action,Drama,Supernatural",10827,2747,5.48,24,23 min. per ep.,TV ,60513,8.05,643.0,972.0,18137.0,78,"Oct  4, 2013 to Jan  6, 2022",['Shoujo'],Princess,"Kanno, Aya (Story & Art)",True,Action,Drama,Supernatural,2022-01-01,2022-06-01,2013-10-04,2022-01-06
