Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga,Genre_1,Genre_2,Genre_3,Anime_StartDate,Anime_EndDate,Manga_StartDate,Manga_EndDate
Eiga Daisuki Pompo-san,"Comedy,Drama",10523,11250,5.58,1,15 sec.,Movie ,48265,7.12,6965.0,17475.0,739.0,Unknown,"Aug  26, 2017 to May  27, 2021",[],,"Sugitani, Shougo (Story & Art)",True,Comedy,Drama,,2021-06-01,2021-06-01,2017-08-26,2021-05-27
"Kono Healer, Mendokusai","Adventure,Comedy,Fantasy",10063,3518,5.71,12,23 min. per ep.,TV ,59730,7.02,8442.0,5268.0,3636.0,Unknown,"Jul  31, 2019 to ?",[],ComicWalker,Tannen ni Hakkou (Story & Art),True,Adventure,Comedy,Fantasy,2022-04-01,2022-06-01,2019-07-31,Ongoing or Hiatus
Karakuri Circus,"Action,Mystery",9705,11005,5.8,1,30 sec.,TV ,132342,7.95,841.0,2440.0,8045.0,426,"Jul  9, 1997 to May  31, 2006",['Shounen'],Shounen Sunday,"Fujita, Kazuhiro (Story & Art)",True,Action,Mystery,,2018-10-01,2019-06-01,1997-07-09,2006-05-31
Dungeon Meshi,"Fantasy,Gourmet",9303,10160,5.91,2,58 sec. per ep.,TV ,305255,8.48,158.0,261.0,59332.0,102,"Feb  15, 2014 to Sep  15, 2023",['Seinen'],Harta,"Kui, Ryoko (Story & Art)",True,Fantasy,Gourmet,,2024-01-01,2024-06-01,2014-02-15,2023-09-15
Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,"Adventure,Fantasy,Romance",8165,1468,6.15,12,23 min. per ep.,TV ,207286,7.0,8771.0,3594.0,5525.0,Unknown,"Sep  30, 2014 to ?",[],,"U35 (Art), Miku (Story)",True,Adventure,Fantasy,Romance,2021-10-01,2021-12-01,2014-09-30,Ongoing or Hiatus
Wild 7,"Action,Drama",7970,9462,6.19,2,55 min. per ep.,OVA ,3289,7.59,2306.0,24827.0,388.0,Unknown,Sep  1969 to Jun  1979,['Shounen'],Shounen King,"Mochizuki, Mikiya (Story & Art)",True,Action,Drama,,1994-12-01,1995-02-01,1969-09-01,1979-06-01
Juuou Mujin no Fafnir,"Fantasy,Romance",7915,1308,6.2,12,24 min. per ep.,TV ,158475,7.15,6609.0,11302.0,1422.0,90,"Jul  2, 2013 to Nov  2, 2017",[],,"Korie, Riko (Art), Tsukasa (Story)",True,Fantasy,Romance,,2015-01-01,2015-03-01,2013-07-02,2017-11-02
Beatless,"Action,Drama,Romance,Sci-Fi",7903,1210,6.2,20,24 min. per ep.,TV ,174116,6.94,9444.0,9781.0,1739.0,14,"Jun  10, 2011 to Jul  10, 2012",[],Newtype,"redjuice (Art), Hase, Satoshi (Story)",True,Action,Drama,Romance,2018-01-01,2018-06-01,2011-06-10,2012-07-10
Hidan no Aria AA,"Action,Girls Love",7845,1812,6.21,12,23 min. per ep.,TV ,103148,7.74,1502.0,23014.0,450.0,Unknown,"Jan  23, 2015 to ?",[],,"Akamatsu, Chuugaku (Story), Kobuichi (Art)",True,Action,Girls Love,,2015-10-01,2015-12-01,2015-01-23,Ongoing or Hiatus
Kyoushoku Soukou Guyver,"Action,Horror,Sci-Fi",7742,6816,6.23,1,54 min.,Movie ,7397,7.75,1475.0,5040.0,3824.0,201,"Jan  1985 to Apr  26, 2016",['Shounen'],Shounen Ace,"Takaya, Yoshiki (Story & Art)",True,Action,Horror,Sci-Fi,1986-12-01,1986-12-01,1985-01-01,2016-04-26
