Date,Comedy,Action,Drama,Romance,Fantasy,Adventure,Slice of Life,Supernatural,Sci-Fi,Mystery,Ecchi,Horror,Sports,Girls Love,Suspense,Boys Love,Gourmet,Avant Garde
1999-09,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1999-11,2,0,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0
1999-12,1,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2000-01,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2000-02,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000-03,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2000-04,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000-05,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000-06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000-07,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2000-08,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
2000-09,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-11,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-12,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2001-01,0,2,3,1,1,0,2,1,0,1,0,1,0,0,0,0,0,0
2001-02,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
2001-03,1,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
2001-05,1,2,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0
2001-07,2,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2001-08,3,2,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0
2001-09,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2001-10,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2001-11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2001-12,4,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2002-01,3,3,3,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2002-02,7,2,1,3,2,2,1,0,1,0,2,0,0,0,0,0,0,0
2002-03,4,1,0,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0
2002-04,2,1,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0
2002-05,0,2,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0
2002-06,1,2,2,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
2002-07,2,1,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2002-08,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2002-10,1,2,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0
2002-11,2,2,3,3,2,1,1,0,0,0,1,0,0,0,1,0,0,0
2002-12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2003-01,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2003-02,4,2,2,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0
2003-03,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2003-04,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2003-05,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2003-06,2,3,4,1,3,0,1,2,0,0,0,0,0,0,0,1,0,0
2003-08,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2003-09,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
2003-10,2,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2003-12,5,1,4,3,1,0,1,1,1,1,0,0,0,0,1,0,0,0
2004-01,4,5,2,2,1,1,2,1,1,0,1,1,0,0,0,1,0,0
2004-02,1,0,2,3,1,0,2,2,1,0,0,0,1,0,0,0,0,0
2004-03,1,0,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2004-04,2,2,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
2004-05,3,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2004-06,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2004-07,3,2,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0
2004-08,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2004-09,2,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
2004-10,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2004-11,5,3,3,3,0,0,2,0,0,1,1,0,0,1,0,1,0,0
2004-12,4,0,2,2,1,0,1,0,0,1,0,0,1,0,0,0,1,0
2005-02,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2005-03,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2005-04,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2005-05,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2005-06,3,3,3,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0
2005-07,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2005-08,2,2,3,2,2,0,1,2,0,0,0,0,1,0,0,0,0,0
2005-09,3,3,4,2,2,2,1,0,2,2,0,0,1,0,0,1,0,0
2005-10,4,1,1,3,2,2,2,1,0,1,0,1,0,0,0,0,0,0
2005-11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2005-12,2,2,3,2,2,0,0,2,0,1,0,0,0,0,0,0,0,0
2006-01,3,2,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0
2006-02,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2006-03,1,2,2,2,1,0,1,0,1,0,0,0,0,1,0,1,0,0
2006-04,2,2,2,2,0,1,0,1,2,0,0,1,1,0,0,0,0,0
2006-05,2,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0
2006-06,1,2,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0
2006-07,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2006-08,4,2,1,4,1,0,1,3,1,0,1,1,0,0,0,0,0,0
2006-09,5,3,0,3,2,2,2,2,0,1,1,0,0,0,0,0,0,0
2006-10,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2006-11,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
