Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga,Cluster
Hajime no Ippo,Other,42.0,376,8.74,75,23 min. per ep.,TV ,Oct 2000 , Mar 2002,602478,8.73,46.0,169.0,84138.0,Unknown,"Sep  27, 1989 to ?",['Shounen'],Shounen Magazine (Weekly),"Morikawa, George (Story & Art)",True,0
Fate/stay night Movie: Heaven's Feel - III. Spring Song,Action,45.0,724,8.72,1,2 hr. 2 min.,Movie ,Aug 2020 , Aug 2020,356259,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Violet Evergarden Movie,Drama,17.0,422,8.95,1,2 hr. 20 min.,Movie ,Sep 2020 , Sep 2020,621318,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
86 Part 2,Action,44.0,647,8.72,12,23 min. per ep.,TV ,Oct 2021 , Mar 2022,511412,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Mushishi Zoku Shou 2nd Season,Adventure,41.0,827,8.74,10,23 min. per ep.,TV ,Oct 2014 , Dec 2014,269484,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Haikyuu!! To the Top Part 2,Other,98.0,244,8.54,12,23 min. per ep.,TV ,Oct 2020 , Dec 2020,828475,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Kara no Kyoukai Movie 5: Mujun Rasen,Action,99.0,896,8.54,1,1 hr. 54 min.,Movie ,Aug 2008 , Aug 2008,240486,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Clannad: After Story,Drama,18.0,105,8.94,24,24 min. per ep.,TV ,Oct 2008 , Mar 2009,1202073,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Mushishi Zoku Shou,Adventure,47.0,731,8.71,10,24 min. per ep.,TV ,Apr 2014 , Jun 2014,303060,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Zoku Natsume Yuujinchou,Drama,94.0,857,8.55,13,24 min. per ep.,TV ,Jan 2009 , Mar 2009,250037,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Ashita no Joe 2,Action,46.0,2917,8.71,47,24 min. per ep.,TV ,Oct 1980 , Aug 1981,53500,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Sora yori mo Tooi Basho,Adventure,95.0,416,8.54,13,23 min. per ep.,TV ,Jan 2018 , Mar 2018,509120,7.29,4883.0,5169.0,3721.0,17,"Dec  27, 2017 to Feb  27, 2019",['Seinen'],Comic Alive,"Yoimachi, Meme (Art)",True,2
Yakusoku no Neverland,Mystery,96.0,39,8.54,12,22 min. per ep.,TV ,Jan 2019 , Mar 2019,1985378,8.16,475.0,17.0,304609.0,181,"Aug  1, 2016 to Jun  15, 2020",['Shounen'],Shounen Jump (Weekly),"Demizu, Posuka (Art), Shirai, Kaiu (Story)",True,3
Koukaku Kidoutai: Stand Alone Complex,Action,148.0,504,8.43,26,25 min. per ep.,TV ,Oct 2002 , Oct 2003,399807,7.77,1393.0,7344.0,2493.0,45,"Jan  21, 2004 to Feb  4, 2005",[],,"Fujisaku, Junichi (Story)",True,0
Code Geass: Hangyaku no Lelouch R2,Action,20.0,47,8.91,25,24 min. per ep.,TV ,Apr 2008 , Sep 2008,1796432,7.58,2340.0,13812.0,1074.0,27,"May  31, 2008 to Feb  28, 2009",[],,"Taniguchi, Gorou (Story), Ookouchi, Ichirou (Story), Iwasa, Mamoru (Story), toi8 (Art)",True,2
Major S6,Comedy,199.0,2452,8.34,25,24 min. per ep.,TV ,Apr 2010 , Sep 2010,63490,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Mononoke,Fantasy,149.0,710,8.43,12,22 min. per ep.,TV ,Jul 2007 , Sep 2007,332149,7.68,1765.0,2475.0,7940.0,19,"Aug  17, 2007 to Aug  1, 2008",['Seinen'],Young Gangan,"Ninagawa, Yaeko (Art)",True,0
Kiseijuu: Sei no Kakuritsu,Action,196.0,41,8.35,24,23 min. per ep.,TV ,Oct 2014 , Mar 2015,1887488,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Made in Abyss Movie 2: Hourou Suru Tasogare,Adventure,197.0,1825,8.35,1,1 hr. 45 min.,Movie ,Jan 2019 , Jan 2019,140890,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Yuru Camp△ Season 2,Comedy,97.0,1073,8.54,13,23 min. per ep.,TV ,Jan 2021 , Apr 2021,228600,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Psycho-Pass,Action,198.0,55,8.35,22,23 min. per ep.,TV ,Oct 2012 , Mar 2013,1644298,7.66,1858.0,8044.0,2226.0,Unknown,"Feb  4, 2013 to Apr  4, 2013",[],,"Fukami, Makoto (Story)",True,2
Given,Other,195.0,387,8.35,11,22 min. per ep.,TV ,Jul 2019 , Sep 2019,577772,8.53,119.0,260.0,59618.0,58,"Apr  30, 2013 to Mar  30, 2023",[],Cheri+,"Kizu, Natsuki (Story & Art)",True,0
Gintama: Shiroyasha Koutan,Action,194.0,2325,8.35,1,10 min.,Special ,Sep 2008 , Sep 2008,70822,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Mahou Shoujo Madoka★Magica,Drama,193.0,90,8.36,12,24 min. per ep.,TV ,Jan 2011 , Apr 2011,1300264,8.08,613.0,428.0,38754.0,12,"Feb  12, 2011 to May  30, 2011",[],,"Magica Quartet (Story), Hanokage (Art)",True,0
Hellsing Ultimate,Action,191.0,165,8.36,10,49 min. per ep.,OVA ,Feb 2006 , Dec 2012,939042,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Haikyuu!! To the Top,Other,190.0,182,8.36,13,24 min. per ep.,TV ,Jan 2020 , Apr 2020,950418,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Saiki Kusuo no Ψ-nan,Comedy,150.0,138,8.43,120,5 min. per ep.,TV ,Jul 2016 , Dec 2016,1116165,8.3,305.0,528.0,32046.0,290,"May  14, 2012 to Jul  26, 2018",['Shounen'],Shounen Jump (Weekly),"Asou, Shuuichi (Story & Art)",True,0
Kaze no Tani no Nausicaä,Adventure,187.0,575,8.37,1,1 hr. 57 min.,Movie ,Mar 1984 , Mar 1984,381629,8.82,30.0,277.0,57071.0,59,"Oct  9, 1982 to Feb  10, 1994",[],Animage,"Miyazaki, Hayao (Story & Art)",True,0
Kotarou wa Hitorigurashi,Comedy,188.0,2262,8.37,10,27 min. per ep.,ONA ,Mar 2022 , Mar 2022,157538,7.61,2183.0,8851.0,1964.0,Unknown,"Mar  13, 2015 to ?",['Seinen'],Big Comic Superior,"Tsumura, Mami (Story & Art)",True,2
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Action,100.0,589,8.53,1,1 hr. 57 min.,Movie ,Jan 2019 , Jan 2019,393306,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Natsume Yuujinchou: Itsuka Yuki no Hi ni,Drama,200.0,2120,8.34,1,23 min.,OVA ,Feb 2014 , Feb 2014,80899,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Redline,Action,250.0,584,8.28,1,1 hr. 42 min.,Movie ,Aug 2009 , Aug 2009,382823,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Kingdom 2nd Season,Other,192.0,1731,8.36,39,25 min. per ep.,TV ,Jun 2013 , Mar 2014,129017,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Gintama: Shinyaku Benizakura-hen,Action,247.0,3039,8.29,1,11 min.,Special ,Dec 2010 , Dec 2010,44389,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Nodame Cantabile,Comedy,249.0,662,8.28,23,22 min. per ep.,TV ,Jan 2007 , Jun 2007,316867,8.41,201.0,644.0,26912.0,150,"Jul  10, 2001 to Aug  25, 2010",['Josei'],Kiss,"Ninomiya, Tomoko (Story & Art)",True,0
Ashita no Joe,Action,245.0,2072,8.29,79,25 min. per ep.,TV ,Apr 1970 , Sep 1971,94181,8.94,15.0,309.0,51006.0,171,"Jan  1, 1968 to May  13, 1973",['Shounen'],Shounen Magazine (Weekly),"Kajiwara, Ikki (Story), Chiba, Tetsuya (Art)",True,0
Fate/Zero,Action,246.0,68,8.29,13,28 min. per ep.,TV ,Oct 2011 , Dec 2011,1510444,8.51,138.0,641.0,27047.0,18,"Dec  29, 2006 to Dec  29, 2007",[],,"Takeuchi, Takashi (Art), Urobuchi, Gen (Story)",True,0
Kino no Tabi: The Beautiful World,Action,244.0,719,8.3,13,24 min. per ep.,TV ,Apr 2003 , Jul 2003,321008,8.68,55.0,954.0,18503.0,Unknown,"Mar  10, 2000 to ?",[],,"Sigsawa, Keiichi (Story), Kuroboshi, Kouhaku (Art)",True,0
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,Drama,185.0,132,8.37,13,27 min. per ep.,TV ,Jul 2020 , Sep 2020,1118611,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Diamond no Ace: Second Season,Other,241.0,1475,8.3,51,24 min. per ep.,TV ,Apr 2015 , Mar 2016,139289,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Holo no Graffiti,Other,186.0,2774,8.37,Unknown,1 min.,ONA ,May 2019 ,,55732,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Steins;Gate: Oukoubakko no Poriomania,Comedy,238.0,458,8.3,1,24 min.,Special ,Feb 2012 , Feb 2012,442224,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Tsubasa: Tokyo Revelations,Action,248.0,1869,8.29,3,30 min. per ep.,OVA ,Nov 2007 , Mar 2008,96416,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Beck,Comedy,239.0,633,8.3,26,25 min. per ep.,TV ,Oct 2004 , Mar 2005,344988,8.69,52.0,193.0,77258.0,103,"Feb  17, 2000 to Jun  5, 2008",['Shounen'],Shounen Magazine (Monthly),"Sakuishi, Harold (Story & Art)",True,0
Shirobako,Comedy,237.0,446,8.3,24,24 min. per ep.,TV ,Oct 2014 , Mar 2015,447921,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Shinsekai yori,Drama,234.0,217,8.31,25,22 min. per ep.,TV ,Sep 2012 , Mar 2013,782551,7.9,994.0,12062.0,1297.0,37,"Jan  25, 2008",[],,"Kishi, Yusuke (Story)",True,2
Dr. Stone,Adventure,242.0,60,8.3,24,24 min. per ep.,TV ,Jul 2019 , Dec 2019,1756985,8.2,418.0,39.0,187097.0,233,"Mar  6, 2017 to Mar  7, 2022",['Shounen'],Shounen Jump (Weekly),"Inagaki, Riichiro (Story), Boichi (Art)",True,3
Bakuman. 2nd Season,Comedy,189.0,578,8.36,25,24 min. per ep.,TV ,Oct 2011 , Mar 2012,355710,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Major: World Series,Comedy,232.0,3280,8.31,2,28 min. per ep.,OVA ,Dec 2011 , Jan 2012,37160,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Hibike! Euphonium 2,Other,243.0,973,8.3,13,23 min. per ep.,TV ,Oct 2016 , Dec 2016,235272,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Hotarubi no Mori e,Drama,228.0,205,8.31,1,45 min.,Movie ,Sep 2011 , Sep 2011,828742,8.06,638.0,861.0,20383.0,4,"Jun  10, 2002 to Mar  24, 2003",['Shoujo'],LaLa,"Midorikawa, Yuki (Story & Art)",True,0
Hunter x Hunter: Original Video Animation,Action,229.0,1543,8.31,8,24 min. per ep.,OVA ,Jan 2002 , Apr 2002,128107,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Kuroko no Basket 3rd Season,Other,231.0,237,8.31,25,24 min. per ep.,TV ,Jan 2015 , Jun 2015,769396,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Initial D First Stage,Action,230.0,624,8.31,26,25 min. per ep.,TV ,Apr 1998 , Dec 1998,389175,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Doupo Cangqiong: San Nian Zhi Yue,Action,223.0,8425,8.32,13,24 min. per ep.,ONA ,Oct 2021 , Jan 2022,7535,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,Comedy,300.0,130,8.23,13,24 min. per ep.,TV ,Apr 2015 , Jun 2015,1072179,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Major S1,Comedy,297.0,1836,8.23,26,25 min. per ep.,TV ,Nov 2004 , May 2005,102347,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Rurouni Kenshin: Meiji Kenkaku Romantan,Action,236.0,402,8.3,94,25 min. per ep.,TV ,Jan 1996 , Sep 1998,498765,8.56,104.0,139.0,96466.0,259,"Apr  12, 1994 to Sep  21, 1999",['Shounen'],Shounen Jump (Weekly),"Watsuki, Nobuhiro (Story & Art)",True,0
World Trigger 3rd Season,Action,235.0,2026,8.31,14,23 min. per ep.,TV ,Oct 2021 , Jan 2022,119171,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,Fantasy,400.0,1238,8.13,12,23 min. per ep.,TV ,Apr 2020 , Jun 2020,216041,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Ginga Eiyuu Densetsu Gaiden,Action,399.0,4061,8.13,24,26 min. per ep.,OVA ,Feb 1998 , Sep 1998,24543,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Dragon Ball Super: Broly,Action,398.0,605,8.13,1,1 hr. 40 min.,Movie ,Dec 2018 , Dec 2018,410281,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
SKET Dance,Other,299.0,938,8.23,77,24 min. per ep.,TV ,Apr 2011 , Sep 2012,226578,8.38,224.0,526.0,32085.0,288,"Jul  14, 2007 to Jul  8, 2013",['Shounen'],Shounen Jump (Weekly),"Shinohara, Kenta (Story & Art)",True,0
Fate/stay night: Unlimited Blade Works 2nd Season,Action,225.0,185,8.32,13,24 min. per ep.,TV ,Apr 2015 , Jun 2015,859950,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Doukyuusei (Movie),Other,227.0,852,8.31,1,1 hr.,Movie ,Feb 2016 , Feb 2016,272784,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Shoujo Kakumei Utena,Comedy,350.0,1021,8.18,39,23 min. per ep.,TV ,Apr 1997 , Dec 1997,223549,7.34,4257.0,16740.0,796.0,12,Nov  1997 to Jan  1998,['Shoujo'],,"Saitou, Chiho (Art), Ookouchi, Ichirou (Story)",True,2
Kaze Tachinu,Drama,449.0,713,8.1,1,2 hr. 6 min.,Movie ,Jul 2013 , Jul 2013,344063,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Kanata no Astra,Adventure,448.0,758,8.1,12,28 min. per ep.,TV ,Jul 2019 , Sep 2019,309369,8.01,721.0,912.0,19296.0,49,"May  9, 2016 to Dec  30, 2017",['Shounen'],Shounen Jump+,"Shinohara, Kenta (Story & Art)",True,0
Haikyuu!! Movie 3: Sainou to Sense,Other,445.0,2244,8.1,1,1 hr. 29 min.,Movie ,Sep 2017 , Sep 2017,92158,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,Action,444.0,5163,8.1,12,25 min. per ep.,Movie ,Mar 2022 , May 2022,21689,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Ramayana: The Legend of Prince Rama,Other,348.0,6740,8.18,1,2 hr. 15 min.,Movie ,Jan 1993 , Jan 1993,11596,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Diamond no Ace,Other,441.0,895,8.1,75,24 min. per ep.,TV ,Oct 2013 , Mar 2015,247762,8.22,401.0,769.0,22694.0,418,"May  17, 2006 to Jul  15, 2015",['Shounen'],Shounen Magazine (Weekly),"Terajima, Yuuji (Story & Art)",True,0
Kill la Kill,Action,499.0,48,8.05,24,24 min. per ep.,TV ,Oct 2013 , Mar 2014,1734843,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Action,447.0,116,8.1,24,24 min. per ep.,TV ,Apr 2014 , Sep 2014,1231092,8.1,576.0,142.0,95117.0,152,"Mar  20, 1989 to Apr  14, 1992",['Shounen'],Shounen Jump (Weekly),"Araki, Hirohiko (Story & Art)",True,0
Hyouka,Mystery,446.0,87,8.1,22,25 min. per ep.,TV ,Apr 2012 , Sep 2012,1383194,8.07,615.0,977.0,18065.0,Unknown,"Jan  26, 2012 to ?",['Shounen'],Shounen Ace,"Yonezawa, Honobu (Story), Ohna, Task (Art)",True,0
Aria the OVA: Arietta,Fantasy,550.0,3215,8.01,1,30 min.,OVA ,Sep 2007 , Sep 2007,38631,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Kara no Kyoukai Movie: Mirai Fukuin,Drama,549.0,1694,8.02,1,1 hr. 30 min.,Movie ,Sep 2013 , Sep 2013,117431,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Shokugeki no Souma,Other,349.0,53,8.18,24,25 min. per ep.,TV ,Apr 2015 , Sep 2015,1653644,7.92,928.0,45.0,177182.0,325,"Nov  26, 2012 to Aug  29, 2019",['Shounen'],Shounen Jump (Weekly),"Saeki, Shun (Art), Tsukuda, Yuuto (Story), Morisaki, Yuki (Story)",True,3
Kaichou wa Maid-sama!,Comedy,547.0,98,8.02,26,24 min. per ep.,TV ,Apr 2010 , Sep 2010,1258313,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Hachimitsu to Clover,Comedy,546.0,801,8.02,24,23 min. per ep.,TV ,Apr 2005 , Sep 2005,270221,8.28,327.0,751.0,23138.0,71,"Apr  24, 2000 to Jul  28, 2006",['Josei'],Young You,"Umino, Chica (Story & Art)",True,1
Kodomo no Omocha (TV),Comedy,500.0,2407,8.05,102,22 min. per ep.,TV ,Apr 1996 , Mar 1998,70142,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
