Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga,Cluster
Kingdom,Other,596.0,1093,7.98,38,25 min. per ep.,TV ,Jun 2012 , Feb 2013,223586,9.0,11.0,52.0,167054.0,Unknown,"Jan  26, 2006 to ?",['Seinen'],Young Jump,"Hara, Yasuhisa (Story & Art)",True,3
Hokuto no Ken,Action,599.0,1526,7.97,109,25 min. per ep.,TV ,Oct 1984 , Mar 1987,133003,8.11,555.0,373.0,43484.0,245,"Sep  13, 1983 to Jul  26, 1988",['Shounen'],Shounen Jump (Weekly),"Hara, Tetsuo (Art), Buronson (Story)",True,1
Boku no Hero Academia,Other,647.0,6,7.94,13,24 min. per ep.,TV ,Apr 2016 , Jun 2016,3048307,8.07,618.0,8.0,432407.0,Unknown,"Jul  7, 2014 to ?",['Shounen'],Shounen Jump (Weekly),"Horikoshi, Kouhei (Story & Art)",True,3
Ookiku Furikabutte,Comedy,697.0,1814,7.91,25,25 min. per ep.,TV ,Apr 2007 , Sep 2007,101397,8.17,455.0,1980.0,9635.0,Unknown,"Sep  25, 2003 to ?",['Seinen'],Afternoon,"Higuchi, Asa (Story & Art)",True,1
Lupin III (2015),Action,696.0,2339,7.91,24,25 min. per ep.,TV ,Oct 2015 , Mar 2016,72112,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Kono Oto Tomare!,Drama,695.0,819,7.91,13,23 min. per ep.,TV ,Apr 2019 , Jun 2019,311185,8.69,53.0,401.0,41142.0,Unknown,"Aug  4, 2012 to ?",['Shounen'],Jump SQ.,"Sakura, Amyuu (Story & Art)",True,1
Ie Naki Ko Remy,Adventure,693.0,4345,7.91,23,23 min. per ep.,TV ,Sep 1996 , Mar 1997,21379,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Ergo Proxy,Mystery,691.0,306,7.91,23,25 min. per ep.,TV ,Feb 2006 , Aug 2006,655989,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Sakigake!! Cromartie Koukou,Other,700.0,1441,7.91,26,12 min. per ep.,TV ,Oct 2003 , Mar 2004,140807,8.12,533.0,1421.0,13446.0,335,"Jul  19, 2000 to May  17, 2006",['Shounen'],Shounen Magazine (Weekly),"Nonaka, Eiji (Story & Art)",True,1
Hidamari Sketch x ☆☆☆,Comedy,692.0,3746,7.91,12,24 min. per ep.,TV ,Jan 2010 , Mar 2010,28532,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Drifters,Action,689.0,359,7.91,12,23 min. per ep.,TV ,Oct 2016 , Dec 2016,573648,7.8,1297.0,436.0,38166.0,Unknown,"Apr  30, 2009 to ?",['Seinen'],Young King OURs,"Hirano, Kouta (Story & Art)",True,1
Princess Connect! Re:Dive Season 2,Action,698.0,1848,7.91,12,23 min. per ep.,TV ,Jan 2022 , Mar 2022,128271,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Aria the Avvenire,Fantasy,687.0,3822,7.91,3,21 min. per ep.,Special ,Sep 2015 , Sep 2015,28400,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Kotonoha no Niwa,Drama,685.0,189,7.92,1,46 min.,Movie ,May 2013 , May 2013,871341,7.63,2084.0,1472.0,13025.0,7,"Apr  25, 2013 to Oct  25, 2013",['Seinen'],Afternoon,"Shinkai, Makoto (Story), Motohashi, Midori (Art)",True,1
Fate/Grand Order: Zettai Majuu Sensen Babylonia,Action,650.0,836,7.94,21,23 min. per ep.,TV ,Oct 2019 , Mar 2020,284931,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Kaleido Star,Comedy,684.0,2039,7.92,51,23 min. per ep.,TV ,Apr 2003 , Mar 2004,86752,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
JoJo no Kimyou na Bouken (TV),Action,683.0,65,7.92,26,24 min. per ep.,TV ,Oct 2012 , Apr 2013,1679725,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Eyeshield 21,Other,681.0,1148,7.92,145,23 min. per ep.,TV ,Apr 2005 , Mar 2008,184905,8.47,161.0,195.0,75524.0,333,"Jul  23, 2002 to Jun  15, 2009",['Shounen'],Shounen Jump (Weekly),"Inagaki, Riichiro (Story), Murata, Yusuke (Art)",True,1
ef: A Tale of Memories.,Drama,690.0,813,7.91,12,24 min. per ep.,TV ,Oct 2007 , Dec 2007,257668,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Macross,Action,686.0,1780,7.92,36,25 min. per ep.,TV ,Oct 1982 , Jun 1983,111989,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Hanasaku Iroha,Comedy,682.0,617,7.92,26,24 min. per ep.,TV ,Apr 2011 , Sep 2011,333330,7.31,4648.0,6524.0,2874.0,24,"Nov  22, 2010 to Sep  22, 2012",['Shounen'],Gangan Joker,"Chida, Eight (Art)",True,2
Carnival Phantasm,Comedy,746.0,1065,7.88,12,14 min. per ep.,OVA ,Aug 2011 , Dec 2011,199109,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Jormungand: Perfect Order,Action,694.0,1113,7.91,12,24 min. per ep.,TV ,Oct 2012 , Dec 2012,194706,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Bungou Stray Dogs: Dead Apple,Action,688.0,905,7.91,1,1 hr. 30 min.,Movie ,Mar 2018 , Mar 2018,284837,8.2,423.0,3293.0,6081.0,15,"Mar  9, 2018 to Jun  29, 2023",[],Young Ace UP,Ganjii (Art),True,1
Initial D Third Stage,Action,749.0,1291,7.88,1,1 hr. 45 min.,Movie ,Jan 2001 , Jan 2001,184800,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,Comedy,799.0,528,7.85,1,23 min.,OVA ,Jun 2016 , Jun 2016,411954,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Haikyuu!! Riku vs. Kuu,Other,850.0,798,7.82,2,22 min. per ep.,OVA ,Jan 2020 , Jan 2020,308128,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Hoozuki no Reitetsu 2nd Season,Comedy,748.0,2872,7.88,13,23 min. per ep.,TV ,Oct 2017 , Dec 2017,47902,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,Action,745.0,1039,7.88,1,1 hr. 32 min.,Movie ,Jun 2012 , Jun 2012,216265,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Lupin the IIIrd: Chikemuri no Ishikawa Goemon,Action,800.0,3264,7.85,1,53 min.,Movie ,Feb 2017 , Feb 2017,41116,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Kageki Shoujo!!,Other,900.0,2267,7.79,13,24 min. per ep.,TV ,Jul 2021 , Sep 2021,84745,7.81,1268.0,7644.0,2367.0,Unknown,"Feb  28, 2015 to ?",['Shoujo'],Melody,"Saiki, Kumiko (Story & Art)",True,1
Grisaia no Rakuen,Drama,898.0,498,7.79,10,23 min. per ep.,TV ,Apr 2015 , Jun 2015,413474,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Kara no Kyoukai Movie 4: Garan no Dou,Action,798.0,983,7.85,1,46 min.,Movie ,May 2008 , May 2008,217082,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
High Score Girl,Other,899.0,871,7.79,12,24 min. per ep.,TV ,Jul 2018 , Sep 2018,261010,8.14,506.0,969.0,18174.0,65,"Oct  29, 2010 to Sep  25, 2018",['Seinen'],Big Gangan,"Oshikiri, Rensuke (Story & Art)",True,1
Seitokai Yakuindomo OVA,Other,947.0,1496,7.77,8,26 min. per ep.,OVA ,Apr 2011 , Oct 2013,130313,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Zan Sayonara Zetsubou Sensei,Other,744.0,1744,7.88,13,23 min. per ep.,TV ,Jul 2009 , Sep 2009,108569,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Bungou Stray Dogs,Action,848.0,91,7.82,12,23 min. per ep.,TV ,Apr 2016 , Jun 2016,1409369,8.52,132.0,157.0,88304.0,Unknown,"Dec  4, 2012 to ?",['Seinen'],Young Ace,"Asagiri, Kafka (Story), Harukawa35 (Art)",True,1
Shiki Specials,Horror,948.0,2265,7.77,2,23 min. per ep.,Special ,May 2011 , Jun 2011,72053,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Ranma ½ OVA,Comedy,999.0,3482,7.74,6,30 min. per ep.,OVA ,Oct 1993 , Aug 1994,33849,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Tentai Senshi Sunred,Other,949.0,4095,7.77,26,13 min. per ep.,TV ,Oct 2008 , Mar 2009,22492,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Neko no Ongaeshi,Adventure,998.0,833,7.74,1,1 hr. 15 min.,Movie ,Jul 2002 , Jul 2002,279682,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Udon no Kuni no Kiniro Kemari,Fantasy,996.0,1500,7.75,12,22 min. per ep.,TV ,Oct 2016 , Dec 2016,135688,7.34,4280.0,7687.0,2350.0,72,"Jun  21, 2012 to Feb  15, 2019",['Seinen'],Comic@Bunch,"Shinomaru, Nodoka (Story & Art)",True,2
Tiger & Bunny Movie 2: The Rising,Action,995.0,3574,7.75,1,1 hr. 40 min.,Movie ,Feb 2014 , Feb 2014,32386,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Tegamibachi Reverse,Adventure,994.0,2401,7.75,25,20 min. per ep.,TV ,Oct 2010 , Mar 2011,64505,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Tamayura: Sotsugyou Shashin Part 2 - Hibiki,Comedy,993.0,5748,7.75,1,52 min.,Movie ,Aug 2015 , Aug 2015,10969,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Mairimashita! Iruma-kun,Comedy,997.0,516,7.74,23,23 min. per ep.,TV ,Oct 2019 , Mar 2020,495696,8.34,262.0,285.0,55546.0,Unknown,"Mar  2, 2017 to ?",['Shounen'],Shounen Champion (Weekly),"Nishi, Osamu (Story & Art)",True,1
K-On!!: Keikaku!,Comedy,797.0,1568,7.85,1,23 min.,Special ,Mar 2011 , Mar 2011,127480,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
