Anime_Score,Anime_Rank,Anime_Popularity,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Genres,Stream_type,Cluster
7.9,709.0,1880,98117,7.8,1290.0,3484.0,5710.0,"Adventure,Comedy,Drama,Fantasy,Romance",TV ,0
7.91,706.0,692,345732,8.67,63.0,128.0,101632.0,"Drama,Girls Love,Romance",TV ,0
7.9,719.0,707,344861,8.28,332.0,723.0,24057.0,"Comedy,Slice of Life",TV ,0
7.92,675.0,299,752030,8.18,437.0,174.0,82449.0,"Comedy,Romance",TV ,0
7.92,672.0,72,1609361,8.65,70.0,254.0,61632.0,"Action,Adventure,Fantasy,Supernatural",TV ,0
7.92,671.0,284,681602,8.11,549.0,506.0,33493.0,"Comedy,Romance",TV ,0
7.9,710.0,621,329969,7.98,780.0,583.0,29404.0,"Comedy,Romance",TV ,0
7.92,677.0,2208,82351,8.15,490.0,1195.0,15356.0,"Action,Comedy,Mystery",TV ,0
7.93,669.0,323,601224,7.9,984.0,820.0,21417.0,"Action,Drama,Fantasy,Mystery",TV ,0
7.93,667.0,1862,99130,7.56,2459.0,1520.0,12677.0,"Comedy,Gourmet",TV ,0
7.93,657.0,1908,119958,8.24,364.0,3037.0,6561.0,"Comedy,Slice of Life,Supernatural",TV ,0
7.94,652.0,1732,110813,8.04,674.0,448.0,37255.0,"Comedy,Drama,Romance,Supernatural",TV ,0
7.95,640.0,924,234649,7.97,809.0,1307.0,14439.0,"Comedy,Drama,Sports",TV ,0
7.95,634.0,114,1123557,8.05,663.0,1352.0,14035.0,"Action,Adventure,Fantasy",TV ,0
7.95,638.0,166,997732,8.36,246.0,85.0,131142.0,"Comedy,Romance,Slice of Life",TV ,0
7.95,636.0,479,430086,8.22,402.0,1665.0,11598.0,"Comedy,Slice of Life",TV ,0
7.96,621.0,1237,168517,7.94,869.0,840.0,21031.0,"Comedy,Drama,Fantasy,Romance",TV ,0
7.97,608.0,1760,109414,8.27,338.0,1189.0,15439.0,"Action,Adventure,Supernatural",OVA ,0
7.97,606.0,615,337331,7.29,4879.0,8383.0,2112.0,"Action,Drama,Suspense",TV ,2
7.96,616.0,1740,113369,8.02,702.0,1281.0,14635.0,"Action,Adventure,Supernatural",Movie ,0
7.97,603.0,8,2875730,8.07,620.0,11.0,409403.0,"Action,Adventure,Fantasy",TV ,1
7.96,617.0,140,1049631,8.41,200.0,65.0,156157.0,"Adventure,Comedy,Fantasy",TV ,0
7.97,604.0,22,2176883,8.39,214.0,43.0,178921.0,"Action,Fantasy",TV ,3
7.99,587.0,678,324516,8.37,235.0,178.0,81981.0,"Comedy,Drama,Mystery,Supernatural",TV ,0
7.99,584.0,139,1047098,8.64,72.0,61.0,159207.0,"Drama,Romance,Slice of Life",TV ,3
7.97,602.0,2363,66059,7.41,3612.0,8737.0,1998.0,"Action,Comedy,Drama",TV ,2
8.0,574.0,103,1243122,7.94,865.0,375.0,43476.0,"Fantasy,Slice of Life",TV ,0
8.0,569.0,4870,16339,7.61,2153.0,19441.0,620.0,"Comedy,Drama,Slice of Life,Supernatural",TV ,2
8.0,564.0,3377,36475,8.34,265.0,1480.0,12970.0,"Drama,Romance,Slice of Life,Sports",TV ,0
8.0,562.0,322,606039,7.58,2350.0,5019.0,3839.0,"Drama,Fantasy,Romance",TV ,2
8.0,561.0,1137,218133,7.94,867.0,881.0,19966.0,"Comedy,Fantasy",TV ,0
8.01,554.0,849,314295,8.75,42.0,1359.0,13979.0,"Fantasy,Slice of Life",TV ,0
8.01,552.0,77,1422289,7.89,1010.0,1712.0,11276.0,"Drama,Romance,Supernatural",TV ,0
8.0,573.0,168,960129,8.29,315.0,101.0,117237.0,"Drama,Romance,Slice of Life",TV ,0
8.02,539.0,82,1445285,8.77,39.0,214.0,69689.0,"Comedy,Romance",TV ,3
8.03,526.0,3847,27794,8.11,557.0,4525.0,4293.0,"Action,Adventure,Drama",TV ,0
8.03,525.0,207,830753,7.74,1533.0,4201.0,4687.0,"Action,Avant Garde,Comedy,Sci-Fi",OVA ,0
8.03,522.0,248,696414,8.28,325.0,64.0,156291.0,"Action,Adventure,Comedy",TV ,0
8.04,517.0,342,597199,8.33,269.0,249.0,62436.0,"Comedy,Romance",TV ,0
8.02,536.0,74,1604968,7.95,850.0,349.0,46157.0,"Action,Adventure,Drama,Fantasy",TV ,0
8.03,518.0,195,862406,8.82,29.0,82.0,132140.0,"Action,Adventure,Comedy,Fantasy,Romance",TV ,3
8.04,512.0,1128,186851,7.27,5020.0,7928.0,2266.0,"Sci-Fi,Slice of Life",ONA ,2
