MDS1,MDS2,Genres,Stream_type,Anime_Score,Anime_Rank,Anime_Popularity,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members
-10840.917199001087,153147.95694655046,Comedy,TV ,7.86,779.0,159,934952,8.44,188.0,186.0,79197.0
44364.32099084013,-313948.98923913634,Comedy,TV ,7.86,770.0,448,467643,8.06,642.0,626.0,27703.0
94700.15421692053,-165328.41374940105,Action,TV ,7.87,753.0,328,600427,8.13,522.0,106.0,114883.0
74995.4337619,-552334.5073832261,Action,TV ,7.88,743.0,933,228823,7.28,4938.0,6099.0,3079.0
48427.829416794215,-453186.22659000056,Drama,TV ,7.89,728.0,667,330984,7.03,8304.0,9339.0,1838.0
42707.6242533534,-424782.8225716535,Comedy,TV ,7.88,742.0,599,360011,7.19,5977.0,8603.0,2039.0
31978.667492171746,90504.45385457059,Drama,TV ,7.89,727.0,209,864269,8.25,362.0,119.0,108006.0
114868.5886175758,-761215.1929569035,Adventure,TV ,7.9,721.0,4864,16273,7.54,2616.0,21296.0,523.0
105396.30824623174,-679090.5618732779,Adventure,TV ,7.9,709.0,1880,98117,7.8,1290.0,3484.0,5710.0
141060.20827936096,-416175.3459566014,Drama,TV ,7.91,706.0,692,345732,8.67,63.0,128.0,101632.0
68456.67821616886,-434348.66237534763,Comedy,TV ,7.9,719.0,707,344861,8.28,332.0,723.0,24057.0
31663.011843071534,-24716.177580860716,Comedy,TV ,7.92,675.0,299,752030,8.18,437.0,174.0,82449.0
-179718.77774567265,806195.3991270211,Action,TV ,7.92,672.0,72,1609361,8.65,70.0,254.0,61632.0
2171.2904522233976,-103841.15834028502,Comedy,TV ,7.92,671.0,284,681602,8.11,549.0,506.0,33493.0
76962.96274680711,-447658.54539804964,Comedy,TV ,7.9,710.0,621,329969,7.98,780.0,583.0,29404.0
118498.37602874353,-692165.3377811314,Action,TV ,7.92,677.0,2208,82351,8.15,490.0,1195.0,15356.0
9525.878071361189,-184864.05208129264,Action,TV ,7.93,669.0,323,601224,7.9,984.0,820.0,21417.0
111978.47279040748,-676483.6922091056,Comedy,TV ,7.93,667.0,1862,99130,7.56,2459.0,1520.0,12677.0
101380.18184458213,-657633.1865112365,Comedy,TV ,7.93,657.0,1908,119958,8.24,364.0,3037.0,6561.0
132799.46454051585,-659502.3667944454,Comedy,TV ,7.94,652.0,1732,110813,8.04,674.0,448.0,37255.0
85362.40559882383,-543835.3555958685,Comedy,TV ,7.95,640.0,924,234649,7.97,809.0,1307.0,14439.0
-116096.77795681627,322537.49184559233,Action,TV ,7.95,634.0,114,1123557,8.05,663.0,1352.0,14035.0
24538.500704785336,225753.5431624747,Comedy,TV ,7.95,638.0,166,997732,8.36,246.0,85.0,131142.0
37637.0380241849,-354122.8205623185,Comedy,TV ,7.95,636.0,479,430086,8.22,402.0,1665.0,11598.0
104926.99542536806,-606937.3080550642,Comedy,TV ,7.96,621.0,1237,168517,7.94,869.0,840.0,21031.0
112307.91778510835,-665841.9975120734,Action,OVA ,7.97,608.0,1760,109414,8.27,338.0,1189.0,15439.0
48151.42968597936,-446770.645138287,Action,TV ,7.97,606.0,615,337331,7.29,4879.0,8383.0,2112.0
110648.33800753705,-662178.771728282,Action,Movie ,7.96,616.0,1740,113369,8.02,702.0,1281.0,14635.0
-176884.7648069415,2115599.1994417137,Action,TV ,7.97,603.0,8,2875730,8.07,620.0,11.0,409403.0
37101.24989025647,281921.75824702374,Adventure,TV ,7.96,617.0,140,1049631,8.41,200.0,65.0,156157.0
-197932.01695653153,1384904.1261860614,Action,TV ,7.97,604.0,22,2176883,8.39,214.0,43.0,178921.0
126993.80947896471,-441348.52585584426,Comedy,TV ,7.99,587.0,678,324516,8.37,235.0,178.0,81981.0
40584.39960664538,280131.62039838353,Drama,TV ,7.99,584.0,139,1047098,8.64,72.0,61.0,159207.0
108254.30392735387,-711333.9613443095,Action,TV ,7.97,602.0,2363,66059,7.41,3612.0,8737.0,1998.0
-113956.6679817741,445614.4479121858,Fantasy,TV ,8.0,574.0,103,1243122,7.94,865.0,375.0,43476.0
