MDS1,MDS2,Cluster
60327.7789547981,-468852.2131411488,0
53407.86556212684,-414437.057616918,0
122761.33846928072,-751836.2096880066,2
-115058.57507440765,2101134.0084657166,1
127424.25692211585,-760388.8004146361,0
116631.76866585204,-727182.9785261726,0
75434.8960715855,-486736.86321387877,0
75186.60797055453,-369352.9811779719,0
-65804.33603158029,863272.0926447437,0
4575.245764317457,22694.785377363973,0
118377.83722501383,-539336.2312748986,0
90438.89717530915,-166980.42801327238,0
-67678.22593265273,129490.78038527368,0
49388.220809976454,-449282.8865789498,2
117761.9759668291,-368984.81733788666,0
106467.01146964918,-746925.5095938351,0
129241.43343813885,-289781.05053752783,0
37434.36219991706,1244770.0754105465,1
-10840.917199001087,153147.95694655046,0
44364.32099084013,-313948.98923913634,0
94700.15421692053,-165328.41374940105,0
74995.4337619,-552334.5073832261,2
48427.829416794215,-453186.22659000056,2
42707.6242533534,-424782.8225716535,2
31978.667492171746,90504.45385457059,0
114868.5886175758,-761215.1929569035,2
105396.30824623174,-679090.5618732779,0
141060.20827936096,-416175.3459566014,0
68456.67821616886,-434348.66237534763,0
31663.011843071534,-24716.177580860716,0
-179718.77774567265,806195.3991270211,0
2171.2904522233976,-103841.15834028502,0
76962.96274680711,-447658.54539804964,0
118498.37602874353,-692165.3377811314,0
9525.878071361189,-184864.05208129264,0
111978.47279040748,-676483.6922091056,0
101380.18184458213,-657633.1865112365,0
132799.46454051585,-659502.3667944454,0
85362.40559882383,-543835.3555958685,0
-116096.77795681627,322537.49184559233,0
24538.500704785336,225753.5431624747,0
37637.0380241849,-354122.8205623185,0
104926.99542536806,-606937.3080550642,0
112307.91778510835,-665841.9975120734,0
48151.42968597936,-446770.645138287,2
110648.33800753705,-662178.771728282,0
-176884.7648069415,2115599.1994417137,1
37101.24989025647,281921.75824702374,0
-197932.01695653153,1384904.1261860614,3
126993.80947896471,-441348.52585584426,0
40584.39960664538,280131.62039838353,3
108254.30392735387,-711333.9613443095,2
-113956.6679817741,445614.4479121858,0
130034.7215208223,-758653.6692668366,2
128630.09555007893,-737008.8379092606,0
-7672.615098207171,-183911.41502935337,2
93869.29806905707,-558711.9354883782,0
66659.11278957967,-466258.06113873975,0
-186329.5209706354,612720.556489751,0
19623.09594119333,186024.22647402223,0
-134374.46267342856,648302.0094832145,3
122491.55459628919,-747493.085692332,0
-58569.983588856776,35459.58239340292,0
113090.03755880744,-62626.736016679984,0
46941.53352044517,-180091.11040250957,0
-193854.607261645,798407.8177647454,0
55313.21767432375,93997.15530660276,3
82225.2666236958,-593567.8037838191,2
14517.934489646252,-263757.52231192234,0
96693.25543547599,-623133.5813758441,0
156860.41677974357,-195809.45401776093,3
118719.71503663306,-463213.74768615083,0
5777.441088207535,-232381.34572802435,0
55059.481169261424,-110190.26723470374,3
134080.13831123651,-629230.1219395206,0
118088.94138413864,-735368.3366860545,2
32965.1762099658,-511131.73824119015,0
-915.2961309907139,159031.65483446472,3
-188625.6026774575,1242299.0011151263,3
-367800.0166688198,1585092.4876430545,3
94693.83490259571,-478210.8748220946,0
-357040.8248105625,1390973.6764883928,3
69775.62146682962,730831.9639805922,1
-275585.2334061105,1166786.9143059314,3
-169488.6233805685,608815.8419120864,3
-50729.26989667035,916505.3361827903,3
106724.95019876899,-531310.2555696851,0
-169597.26674224169,658990.0055616467,3
-52364.80260402682,1921.9969197630858,2
57516.84657657558,-344258.8738913704,3
75301.43777720848,-561032.5930174999,2
68956.34764103814,-529938.8689717739,2
82207.33972647203,-331314.3985025244,3
52661.96979669348,92562.70427741925,3
-10296.631042970772,357298.24283029325,3
105973.71132678654,-420552.10004564084,3
60444.81421066997,-312381.4439462611,3
143718.1302557544,-128312.26153732461,3
-119529.7448917701,275845.6238742222,2
122184.68348457727,-699550.5291645639,0
83862.70516643717,-437099.3108485659,3
127402.72486074052,665763.4965663381,1
-13703.712188761061,-16752.272939221657,3
41382.41599502106,-415979.6297489623,2
-140130.40002122681,435863.38988460466,2
-17073.58323987577,4414.495802347683,3
-316092.5962529395,1394921.5016490098,3
-23802.554770504532,-119710.13433984359,2
114417.81718108233,-514357.06582497305,3
11279.96557149444,-294530.9555996731,2
-1824.4613289840745,42732.13723179721,3
-249228.9915499972,939826.6265555389,3
110108.89135939592,-573788.6126210465,3
45156.86151920003,-237872.68349697936,3
26612.3003957639,-358832.67508261977,2
63382.78771664639,-390234.9757097496,3
-40340.47312302291,-40532.89082884657,3
-97524.47415275424,213164.64800626945,3
115777.31620706191,-674626.7374983343,3
-226806.63934595787,802194.8246161792,3
-158871.13928939487,604612.8398756421,3
4545.3818496812455,-222866.94696786912,3
41573.016842109464,-235370.3512869868,3
28871.932947959314,-286532.9581971091,3
21882.906947644035,104219.50871504529,3
30822.534883301047,-94905.04892952048,3
21219.028099574316,307503.0496837335,3
-170716.13545045396,-201184.16510173812,3
-62825.26090094085,116587.07012427314,3
55684.80799806566,-479235.45933832537,2
195702.57268351107,-231399.00343882182,3
-100979.44061769391,554324.3050613017,3
