PC1,PC2,Genres,Stream_type,Anime_Score,Anime_Rank,Anime_Popularity,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members
-0.5252786940451606,1.6004761089380573,Horror,TV ,7.84,811.0,503,406546,8.21,413.0,346.0,46433.0
0.6639486560101212,1.2928329000111403,Action,TV ,7.84,809.0,54,1639122,8.09,593.0,40.0,186141.0
-0.5545259191123213,1.0552939048808234,Action,TV ,7.85,794.0,220,804371,7.86,1079.0,238.0,64735.0
-0.6652978283436644,1.7721545195663635,Comedy,TV ,7.85,802.0,1005,231076,8.29,308.0,311.0,50862.0
0.27658720610430876,1.8925229213078794,Comedy,TV ,7.85,795.0,375,599807,8.57,102.0,112.0,110210.0
-0.9058366670183069,0.7694587043194748,Comedy,TV ,7.84,810.0,154,924502,7.75,1464.0,1023.0,17489.0
-2.722544847423921,-0.5616746159666458,Drama,Movie ,7.86,785.0,659,334622,7.4,3673.0,7535.0,2414.0
0.09909632695275032,1.963370035971317,Action,TV ,7.86,780.0,625,396997,8.64,73.0,154.0,89406.0
-2.466073657364157,1.6810024780927058,Action,ONA ,7.86,777.0,4007,29355,7.85,1122.0,628.0,27604.0
0.2781239892044044,1.9612503967920056,Drama,TV ,7.86,775.0,558,471315,8.64,76.0,99.0,119615.0
1.2880550713648704,1.0324410998762186,Action,TV ,7.86,774.0,40,1985899,7.86,1078.0,14.0,377983.0
0.31304044604347947,1.5947807478745561,Comedy,TV ,7.86,779.0,159,934952,8.44,188.0,186.0,79197.0
-0.6735391378656842,1.2706895490652608,Comedy,TV ,7.86,770.0,448,467643,8.06,642.0,626.0,27703.0
-0.09309480140907775,1.3885283643278865,Action,TV ,7.87,753.0,328,600427,8.13,522.0,106.0,114883.0
-3.0457861310383336,-0.8376595679017043,Action,TV ,7.88,743.0,933,228823,7.28,4938.0,6099.0,3079.0
-4.062862032958591,-2.2676761586979737,Drama,TV ,7.89,728.0,667,330984,7.03,8304.0,9339.0,1838.0
-3.367765471500681,-1.4957657379703462,Comedy,TV ,7.88,742.0,599,360011,7.19,5977.0,8603.0,2039.0
0.2539627822309717,1.342847062747559,Drama,TV ,7.89,727.0,209,864269,8.25,362.0,119.0,108006.0
-5.124161939177037,-1.104752437040873,Adventure,TV ,7.9,721.0,4864,16273,7.54,2616.0,21296.0,523.0
-1.951156849853959,0.753251451786164,Adventure,TV ,7.9,709.0,1880,98117,7.8,1290.0,3484.0,5710.0
0.261093248478209,1.808745015064183,Drama,TV ,7.91,706.0,692,345732,8.67,63.0,128.0,101632.0
-0.4925007791120747,1.3902494171299284,Comedy,TV ,7.9,719.0,707,344861,8.28,332.0,723.0,24057.0
0.08323365744107541,1.1460276096265718,Comedy,TV ,7.92,675.0,299,752030,8.18,437.0,174.0,82449.0
1.030604766036463,1.2878253269289088,Action,TV ,7.92,672.0,72,1609361,8.65,70.0,254.0,61632.0
-0.2292026159956002,0.9975411854929609,Comedy,TV ,7.92,671.0,284,681602,8.11,549.0,506.0,33493.0
-0.7847361188174914,1.0758882783506636,Comedy,TV ,7.9,710.0,621,329969,7.98,780.0,583.0,29404.0
-1.314835549795489,1.394226951026182,Action,TV ,7.92,677.0,2208,82351,8.15,490.0,1195.0,15356.0
-0.6157363779784483,0.7117118015621906,Action,TV ,7.93,669.0,323,601224,7.9,984.0,820.0,21417.0
-2.1208872593984065,0.3955692171627065,Comedy,TV ,7.93,667.0,1862,99130,7.56,2459.0,1520.0,12677.0
-1.2385872919736807,1.1764755486062994,Comedy,TV ,7.93,657.0,1908,119958,8.24,364.0,3037.0,6561.0
-1.0729130639917588,1.217270195130425,Comedy,TV ,7.94,652.0,1732,110813,8.04,674.0,448.0,37255.0
-0.9379105703343663,0.8346332239907659,Comedy,TV ,7.95,640.0,924,234649,7.97,809.0,1307.0,14439.0
-0.07654677089524442,0.5828142332561562,Action,TV ,7.95,634.0,114,1123557,8.05,663.0,1352.0,14035.0
0.712259113049294,1.176944759355527,Comedy,TV ,7.95,638.0,166,997732,8.36,246.0,85.0,131142.0
-0.4084988182659448,0.9393418524259015,Comedy,TV ,7.95,636.0,479,430086,8.22,402.0,1665.0,11598.0
-1.0272675451552684,0.8690013204085686,Comedy,TV ,7.96,621.0,1237,168517,7.94,869.0,840.0,21031.0
-0.8694032970544022,1.2310053242606815,Action,OVA ,7.97,608.0,1760,109414,8.27,338.0,1189.0,15439.0
-2.798797408592306,-1.5211023847811196,Action,TV ,7.97,606.0,615,337331,7.29,4879.0,8383.0,2112.0
-1.1858652164460466,0.9927744009414669,Action,Movie ,7.96,616.0,1740,113369,8.02,702.0,1281.0,14635.0
2.4760713842759685,0.6265144537811499,Action,TV ,7.97,603.0,8,2875730,8.07,620.0,11.0,409403.0
0.926855830067462,1.178070655092021,Adventure,TV ,7.96,617.0,140,1049631,8.41,200.0,65.0,156157.0
1.653097727202577,0.8759543629906279,Action,TV ,7.97,604.0,22,2176883,8.39,214.0,43.0,178921.0
0.10600650446139259,1.203861624681308,Comedy,TV ,7.99,587.0,678,324516,8.37,235.0,178.0,81981.0
1.236408808225154,1.2578258516877758,Drama,TV ,7.99,584.0,139,1047098,8.64,72.0,61.0,159207.0
-3.226281165084183,-0.8443100429151701,Action,TV ,7.97,602.0,2363,66059,7.41,3612.0,8737.0,1998.0
0.1634972076967915,0.3736047784938353,Fantasy,TV ,8.0,574.0,103,1243122,7.94,865.0,375.0,43476.0
-4.526248662923836,-1.1841633122694666,Comedy,TV ,8.0,569.0,4870,16339,7.61,2153.0,19441.0,620.0
-1.3583593577306938,1.4044911077153275,Drama,TV ,8.0,564.0,3377,36475,8.34,265.0,1480.0,12970.0
-1.3989256015956877,-0.5942764771433251,Drama,TV ,8.0,562.0,322,606039,7.58,2350.0,5019.0,3839.0
-0.8597560179893092,0.6654995241546555,Comedy,TV ,8.0,561.0,1137,218133,7.94,867.0,881.0,19966.0
0.13295683206467893,1.2533171536599244,Fantasy,TV ,8.01,554.0,849,314295,8.75,42.0,1359.0,13979.0
0.0017940729771875998,0.03550463717886049,Drama,TV ,8.01,552.0,77,1422289,7.89,1010.0,1712.0,11276.0
0.6949591970646828,0.9099383298813051,Drama,TV ,8.0,573.0,168,960129,8.29,315.0,101.0,117237.0
1.345773460315362,1.0248572611371318,Comedy,TV ,8.02,539.0,82,1445285,8.77,39.0,214.0,69689.0
-2.008975458679294,0.8123345177970074,Action,TV ,8.03,526.0,3847,27794,8.11,557.0,4525.0,4293.0
-0.7817260109900372,-0.38644687120665083,Action,OVA ,8.03,525.0,207,830753,7.74,1533.0,4201.0,4687.0
0.7472771778014241,0.8735929355611911,Action,TV ,8.03,522.0,248,696414,8.28,325.0,64.0,156291.0
0.38822014477085054,0.8234329255343371,Comedy,TV ,8.04,517.0,342,597199,8.33,269.0,249.0,62436.0
0.45424619160129737,0.2040155383188679,Action,TV ,8.02,536.0,74,1604968,7.95,850.0,349.0,46157.0
1.3082775363068346,1.2277088166875842,Action,TV ,8.03,518.0,195,862406,8.82,29.0,82.0,132140.0
-2.883824113086209,-1.6887921047142072,Other,ONA ,8.04,512.0,1128,186851,7.27,5020.0,7928.0,2266.0
-0.9474776555013127,-0.32654084664783617,Comedy,Movie ,8.05,503.0,372,523383,7.65,1959.0,2317.0,8425.0
